MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
2.0,-2.0,-1.0,0.0,-2.0,-1.0,-1.0,-1.0,-2.6135688,-1.5707964,2.6223924,1726.0,-834.0,598.0,15.0,-23.0,-3.0,2.0,-4.0,-1.0,0.0,-2.0,-1.0,-1.0,-4.0,2.0868008,-1.5707964,-1.7935756,441.0,1619.0,1080.0,-18.0,3.0,0.0
2.0,-2.0,-1.0,0.0,-2.0,-1.0,-1.0,-1.0,-2.6139598,-1.5707964,2.6227567,1730.0,-826.0,598.0,18.0,-22.0,-8.0,2.0,-4.0,-1.0,0.0,-2.0,-1.0,-1.0,-4.0,2.0868008,-1.5707964,-1.7935756,441.0,1619.0,1080.0,-18.0,3.0,0.0
-1.0,2.0,-1.0,1.0,0.0,-1.0,-2.0,0.0,-2.6139598,-1.5707964,2.6227567,1730.0,-826.0,598.0,18.0,-22.0,-8.0,-3.0,1.0,-2.0,1.0,0.0,-1.0,-4.0,-3.0,2.0867696,-1.5707964,-1.7934701,428.0,1614.0,1076.0,0.0,2.0,4.0
-1.0,2.0,-1.0,1.0,0.0,-1.0,-2.0,0.0,-2.6143324,-1.5707964,2.6231194,1739.0,-829.0,589.0,19.0,-16.0,-6.0,-3.0,1.0,-2.0,1.0,0.0,-1.0,-4.0,-3.0,2.0867696,-1.5707964,-1.7934701,428.0,1614.0,1076.0,0.0,2.0,4.0
0.0,-1.0,-1.0,0.0,-2.0,-4.0,-2.0,3.0,-2.6142597,-1.5707964,2.6230278,1731.0,-839.0,615.0,8.0,-15.0,-7.0,-6.0,1.0,-4.0,-2.0,0.0,-2.0,1.0,-1.0,2.0867696,-1.5707964,-1.7934701,428.0,1614.0,1076.0,0.0,2.0,4.0
3.0,1.0,-2.0,-1.0,-2.0,2.0,-2.0,3.0,-2.6142597,-1.5707964,2.6230278,1731.0,-839.0,615.0,8.0,-15.0,-7.0,-6.0,1.0,-4.0,-2.0,0.0,-2.0,1.0,-1.0,2.0867696,-1.5707964,-1.7934701,430.0,1623.0,1069.0,8.0,-2.0,2.0
5.0,0.0,-3.0,-1.0,-1.0,-3.0,-4.0,0.0,-2.614339,-1.5707964,2.6230783,1728.0,-836.0,610.0,18.0,-21.0,-3.0,0.0,-2.0,0.0,-2.0,-1.0,1.0,2.0,2.0,2.0867696,-1.5707964,-1.7934701,430.0,1623.0,1069.0,8.0,-2.0,2.0
-3.0,1.0,1.0,-1.0,-3.0,-3.0,1.0,-2.0,-2.614339,-1.5707964,2.6230783,1728.0,-836.0,610.0,18.0,-21.0,-3.0,0.0,-2.0,0.0,-2.0,-1.0,1.0,2.0,2.0,2.0867696,-1.5707964,-1.7934701,437.0,1630.0,1079.0,3.0,-4.0,4.0
-3.0,-2.0,-3.0,1.0,0.0,4.0,-3.0,0.0,-2.6144726,-1.5707964,2.6231372,1732.0,-829.0,600.0,34.0,-21.0,3.0,0.0,-2.0,0.0,-2.0,-1.0,1.0,2.0,2.0,2.0867696,-1.5707964,-1.7934701,437.0,1630.0,1079.0,3.0,-4.0,4.0
-3.0,0.0,3.0,4.0,-2.0,0.0,4.0,-2.0,-2.6144726,-1.5707964,2.6231372,1732.0,-829.0,600.0,34.0,-21.0,3.0,-1.0,-4.0,-3.0,-2.0,-1.0,0.0,1.0,-4.0,2.0867696,-1.5707964,-1.7934701,440.0,1639.0,1074.0,-2.0,-2.0,2.0
-3.0,0.0,3.0,4.0,-2.0,0.0,4.0,-2.0,-2.6145,-1.5707964,2.6230845,1734.0,-834.0,593.0,24.0,-17.0,4.0,-1.0,-4.0,-3.0,-2.0,-1.0,0.0,1.0,-4.0,2.0867696,-1.5707964,-1.7934701,440.0,1639.0,1074.0,-2.0,-2.0,2.0
2.0,1.0,2.0,2.0,-1.0,-2.0,-3.0,-4.0,-2.6143658,-1.5707964,2.6228747,1728.0,-833.0,595.0,31.0,-14.0,11.0,-4.0,0.0,0.0,-1.0,-3.0,-1.0,-4.0,-1.0,2.0867696,-1.5707964,-1.7934701,440.0,1639.0,1074.0,-2.0,-2.0,2.0
3.0,-3.0,0.0,4.0,-2.0,1.0,1.0,2.0,-2.6143658,-1.5707964,2.6228747,1728.0,-833.0,595.0,31.0,-14.0,11.0,-4.0,0.0,0.0,-1.0,-3.0,-1.0,-4.0,-1.0,2.0867696,-1.5707964,-1.7934701,443.0,1637.0,1066.0,-12.0,3.0,1.0
-4.0,-3.0,-2.0,-1.0,1.0,0.0,-1.0,-3.0,-2.6142015,-1.5707964,2.6226494,1731.0,-830.0,600.0,18.0,-11.0,6.0,1.0,0.0,0.0,0.0,-2.0,-3.0,0.0,-2.0,2.0867696,-1.5707964,-1.7934701,443.0,1637.0,1066.0,-12.0,3.0,1.0
