MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z,MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z
-4.0,-2.0,0.0,-4.0,-1.0,2.0,0.0,2.0,-1.6844447,-1.5707964,-2.988454,17.0,-434.0,1893.0,3.0,-14.0,1.0,2.0,-2.0,-2.0,-4.0,5.0,-3.0,-6.0,-4.0,3.1378105,-1.5707964,2.8500245,1809.0,-4.0,887.0,16.0,-12.0,8.0
1.0,-3.0,0.0,-1.0,3.0,4.0,-1.0,-2.0,-1.6844447,-1.5707964,-2.988454,17.0,-434.0,1893.0,3.0,-14.0,1.0,3.0,-1.0,-3.0,1.0,-7.0,-1.0,2.0,-1.0,3.1372433,-1.5707964,2.8499856,1803.0,4.0,879.0,26.0,3.0,-3.0
-2.0,0.0,-1.0,0.0,-3.0,1.0,-4.0,0.0,-1.684424,-1.5707964,-2.9884608,10.0,-436.0,1892.0,-2.0,-15.0,0.0,3.0,-1.0,-3.0,1.0,-7.0,-1.0,2.0,-1.0,3.1372433,-1.5707964,2.8499856,1803.0,4.0,879.0,26.0,3.0,-3.0
-6.0,-2.0,-1.0,-5.0,1.0,1.0,-2.0,-5.0,-1.684424,-1.5707964,-2.9884608,10.0,-436.0,1892.0,-2.0,-15.0,0.0,-2.0,-3.0,-4.0,-11.0,-2.0,-2.0,1.0,4.0,3.1366138,-1.5707964,2.8494322,1806.0,2.0,903.0,26.0,11.0,-8.0
4.0,-1.0,-2.0,-1.0,-2.0,-4.0,-2.0,0.0,-1.6844035,-1.5707964,-2.9884675,12.0,-448.0,1891.0,-1.0,-15.0,1.0,-2.0,-3.0,-4.0,-11.0,-2.0,-2.0,1.0,4.0,3.1366138,-1.5707964,2.8494322,1806.0,2.0,903.0,26.0,11.0,-8.0
-3.0,1.0,-4.0,2.0,-4.0,2.0,0.0,-1.0,-1.6844035,-1.5707964,-2.9884675,12.0,-448.0,1891.0,-1.0,-15.0,1.0,-5.0,4.0,1.0,2.0,2.0,-3.0,-1.0,-5.0,3.1363137,-1.5707964,2.8488066,1802.0,3.0,904.0,26.0,9.0,3.0
-2.0,-3.0,-1.0,-1.0,-1.0,-1.0,2.0,-3.0,-1.6844611,-1.5707964,-2.988468,20.0,-443.0,1897.0,1.0,-15.0,0.0,-1.0,-3.0,-1.0,-3.0,-8.0,-6.0,1.0,-1.0,3.1363137,-1.5707964,2.8488066,1802.0,3.0,904.0,26.0,9.0,3.0
-2.0,-2.0,1.0,0.0,-1.0,1.0,-3.0,-4.0,-1.6844611,-1.5707964,-2.988468,27.0,-450.0,1888.0,-2.0,-10.0,2.0,-2.0,-1.0,1.0,-1.0,3.0,0.0,-2.0,0.0,3.1363137,-1.5707964,2.8488066,1802.0,3.0,904.0,26.0,9.0,3.0
-2.0,-2.0,1.0,0.0,-1.0,1.0,-3.0,-4.0,-1.6844611,-1.5707964,-2.988468,27.0,-450.0,1888.0,-2.0,-10.0,2.0,-2.0,-1.0,1.0,-1.0,3.0,0.0,-2.0,0.0,3.1357434,-1.5707964,2.8486893,1789.0,19.0,911.0,18.0,-11.0,1.0
0.0,-2.0,-1.0,-3.0,1.0,1.0,-3.0,-2.0,-1.6844406,-1.5707964,-2.9884746,13.0,-445.0,1889.0,4.0,-10.0,1.0,-1.0,-2.0,0.0,4.0,1.0,0.0,-2.0,-7.0,3.1357434,-1.5707964,2.8486893,1789.0,19.0,911.0,18.0,-11.0,1.0
0.0,-2.0,-1.0,-3.0,1.0,1.0,-3.0,-2.0,-1.6844406,-1.5707964,-2.9884746,13.0,-445.0,1889.0,4.0,-10.0,1.0,-1.0,-2.0,0.0,4.0,1.0,0.0,-2.0,-7.0,3.1356416,-1.5707964,2.8484037,1801.0,11.0,900.0,25.0,-17.0,13.0
-4.0,-2.0,0.0,2.0,0.0,-1.0,2.0,-3.0,-1.6844406,-1.5707964,-2.9884746,13.0,-445.0,1889.0,4.0,-10.0,1.0,-4.0,0.0,-1.0,-2.0,-11.0,-3.0,-2.0,-4.0,3.1361601,-1.5707964,2.8477435,1805.0,-1.0,884.0,24.0,-6.0,18.0
-4.0,-2.0,0.0,2.0,0.0,-1.0,2.0,-3.0,-1.6845171,-1.5707964,-2.9884083,18.0,-446.0,1887.0,-1.0,-19.0,1.0,-4.0,0.0,-1.0,-2.0,-11.0,-3.0,-2.0,-4.0,3.1361601,-1.5707964,2.8477435,1805.0,-1.0,884.0,24.0,-6.0,18.0
-6.0,-1.0,-1.0,-2.0,2.0,-2.0,3.0,0.0,-1.6845171,-1.5707964,-2.9884083,18.0,-446.0,1887.0,-1.0,-19.0,1.0,-1.0,-3.0,-5.0,-3.0,-4.0,-2.0,1.0,-3.0,3.1361191,-1.5707964,2.8476639,1798.0,1.0,902.0,7.0,-13.0,7.0
3.0,0.0,-1.0,1.0,-2.0,-4.0,-1.0,-1.0,-1.6845747,-1.5707964,-2.9884088,12.0,-439.0,1895.0,-8.0,-16.0,1.0,-1.0,-3.0,-5.0,-3.0,-4.0,-2.0,1.0,-3.0,3.1361191,-1.5707964,2.8476639,1798.0,1.0,902.0,7.0,-13.0,7.0
4.0,-2.0,-1.0,-1.0,2.0,-2.0,-1.0,-4.0,-1.6845747,-1.5707964,-2.9884088,12.0,-439.0,1895.0,-8.0,-16.0,1.0,2.0,-3.0,-6.0,2.0,3.0,1.0,-2.0,-5.0,3.1364095,-1.5707964,2.8475146,1804.0,23.0,910.0,1.0,-30.0,18.0
-1.0,2.0,2.0,3.0,-3.0,1.0,1.0,-3.0,-1.6845543,-1.5707964,-2.9884155,13.0,-446.0,1905.0,-5.0,-14.0,1.0,2.0,-3.0,-6.0,2.0,3.0,1.0,-2.0,-5.0,3.1364095,-1.5707964,2.8475146,1804.0,23.0,910.0,1.0,-30.0,18.0
-3.0,-4.0,-1.0,-1.0,-2.0,0.0,3.0,0.0,-1.6845543,-1.5707964,-2.9884155,13.0,-446.0,1905.0,-5.0,-14.0,1.0,1.0,1.0,0.0,1.0,-2.0,-4.0,-1.0,2.0,3.1368794,-1.5707964,2.8475044,1819.0,6.0,887.0,21.0,-33.0,25.0
0.0,1.0,-2.0,3.0,-2.0,-2.0,-7.0,0.0,-1.684534,-1.5707964,-2.9884222,13.0,-446.0,1899.0,0.0,-12.0,4.0,1.0,1.0,1.0,6.0,15.0,0.0,-1.0,2.0,3.1368794,-1.5707964,2.8475044,1819.0,6.0,887.0,21.0,-33.0,25.0
-1.0,-1.0,-1.0,-3.0,-4.0,-1.0,-1.0,-4.0,-1.6846102,-1.5707964,-2.9883559,10.0,-450.0,1887.0,6.0,-18.0,1.0,0.0,-2.0,-1.0,2.0,1.0,-1.0,2.0,0.0,3.1368794,-1.5707964,2.8475044,1819.0,6.0,887.0,21.0,-33.0,25.0
-1.0,-1.0,-1.0,-3.0,-4.0,-1.0,-1.0,-4.0,-1.6846102,-1.5707964,-2.9883559,10.0,-450.0,1887.0,6.0,-18.0,1.0,0.0,-2.0,-1.0,2.0,1.0,-1.0,2.0,0.0,3.1378562,-1.5707964,2.8471744,1812.0,-14.0,877.0,18.0,-28.0,23.0
-3.0,-3.0,-5.0,-2.0,4.0,2.0,4.0,4.0,-1.6845781,-1.5707964,-2.9882796,19.0,-443.0,1888.0,6.0,-20.0,2.0,-5.0,-3.0,-4.0,-8.0,-10.0,-8.0,-7.0,-1.0,3.1378562,-1.5707964,2.8471744,1812.0,-14.0,877.0,18.0,-28.0,23.0
-3.0,-3.0,-5.0,-2.0,4.0,2.0,4.0,4.0,-1.6845781,-1.5707964,-2.9882796,19.0,-443.0,1888.0,6.0,-20.0,2.0,-5.0,-3.0,-4.0,-8.0,-10.0,-8.0,-7.0,-1.0,3.1381059,-1.5707964,2.8470252,1797.0,9.0,884.0,9.0,-19.0,13.0
