MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
0.0,1.0,-2.0,-4.0,1.0,-3.0,-2.0,-1.0,-2.7740555,1.5707964,-3.063521,-1917.0,-643.0,431.0,-29.0,-20.0,-100.0,-3.0,-3.0,-3.0,-3.0,-2.0,-6.0,-1.0,0.0,1.6909055,-1.5707964,2.330615,96.0,446.0,1902.0,-10.0,-16.0,58.0
-3.0,-4.0,-2.0,0.0,-1.0,-3.0,-4.0,1.0,-2.7740555,1.5707964,-3.063521,-1917.0,-643.0,431.0,-29.0,-20.0,-100.0,1.0,-1.0,-1.0,-2.0,0.0,-3.0,1.0,24.0,1.6909,-1.5707964,2.3312347,97.0,412.0,1929.0,-44.0,-66.0,72.0
-1.0,-1.0,0.0,-2.0,0.0,2.0,0.0,1.0,-2.770611,1.5707964,-3.0598252,-1911.0,-671.0,437.0,-39.0,-18.0,-116.0,-2.0,3.0,-1.0,-2.0,-4.0,1.0,-2.0,-3.0,1.6909,-1.5707964,2.3312347,97.0,412.0,1929.0,-44.0,-66.0,72.0
-2.0,0.0,0.0,-3.0,1.0,-2.0,-1.0,-2.0,-2.770611,1.5707964,-3.0598252,-1911.0,-671.0,437.0,-39.0,-18.0,-116.0,-3.0,-1.0,-4.0,-2.0,-1.0,-1.0,-1.0,-6.0,1.691156,-1.5707964,2.332075,116.0,398.0,1920.0,-44.0,-87.0,89.0
-1.0,1.0,1.0,-1.0,-1.0,-2.0,0.0,0.0,-2.7668538,1.5707964,-3.056131,-1904.0,-662.0,443.0,-37.0,-25.0,-142.0,-5.0,-4.0,-5.0,-2.0,-2.0,4.0,-2.0,-9.0,1.691156,-1.5707964,2.332075,116.0,398.0,1920.0,-44.0,-87.0,89.0
1.0,-1.0,1.0,0.0,0.0,1.0,0.0,-3.0,-2.7668538,1.5707964,-3.056131,-1904.0,-662.0,443.0,-37.0,-25.0,-142.0,-5.0,-4.0,-5.0,-2.0,-2.0,4.0,-2.0,-9.0,1.6917589,-1.5707964,2.3329172,153.0,373.0,1931.0,-40.0,-107.0,87.0
-3.0,0.0,1.0,-2.0,-1.0,0.0,3.0,1.0,-2.7619348,1.5707964,-3.0513012,-1908.0,-695.0,439.0,-47.0,-32.0,-177.0,1.0,-3.0,-2.0,-3.0,0.0,-2.0,0.0,-7.0,1.6917589,-1.5707964,2.3329172,153.0,373.0,1931.0,-40.0,-107.0,87.0
-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-1.0,-2.7619348,1.5707964,-3.0513012,-1908.0,-695.0,439.0,-47.0,-32.0,-177.0,-2.0,-1.0,2.0,0.0,-2.0,-1.0,2.0,13.0,1.6925346,-1.5707964,2.3336666,175.0,376.0,1939.0,-21.0,-98.0,80.0
0.0,0.0,-2.0,1.0,-3.0,-1.0,-2.0,-2.0,-2.7563915,1.5707964,-3.0455694,-1899.0,-735.0,450.0,-65.0,-24.0,-186.0,1.0,-1.0,0.0,0.0,-2.0,2.0,2.0,11.0,1.6925346,-1.5707964,2.3336666,175.0,376.0,1939.0,-21.0,-98.0,80.0
0.0,-3.0,-2.0,1.0,-2.0,-3.0,1.0,1.0,-2.7563915,1.5707964,-3.0455694,-1899.0,-735.0,450.0,-65.0,-24.0,-186.0,-1.0,-6.0,-2.0,-5.0,-2.0,-7.0,0.0,-4.0,1.6929675,-1.5707964,2.3343709,166.0,359.0,1952.0,-3.0,-63.0,69.0
0.0,-3.0,0.0,-2.0,-3.0,-1.0,-1.0,0.0,-2.751766,1.5707964,-3.0402684,-1908.0,-744.0,445.0,-65.0,-15.0,-156.0,2.0,0.0,-2.0,2.0,2.0,1.0,-6.0,-7.0,1.6929675,-1.5707964,2.3343709,166.0,359.0,1952.0,-3.0,-63.0,69.0
-2.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-5.0,-2.751766,1.5707964,-3.0402684,-1908.0,-744.0,445.0,-65.0,-15.0,-156.0,2.0,0.0,-2.0,2.0,2.0,1.0,-6.0,-7.0,1.693202,-1.5707964,2.3348565,158.0,351.0,1942.0,9.0,-43.0,49.0
-1.0,3.0,-2.0,1.0,-1.0,1.0,1.0,-3.0,-2.7482574,1.5707964,-3.0366094,-1931.0,-704.0,438.0,-18.0,-29.0,-138.0,-3.0,0.0,-2.0,-2.0,-4.0,-1.0,1.0,-7.0,1.693202,-1.5707964,2.3348565,158.0,351.0,1942.0,9.0,-43.0,49.0
0.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-2.7482574,1.5707964,-3.0366094,-1931.0,-704.0,438.0,-18.0,-29.0,-138.0,-3.0,1.0,0.0,0.0,1.0,-3.0,-5.0,-8.0,1.6935312,-1.5707964,2.3351967,178.0,361.0,1959.0,33.0,-26.0,29.0
-2.0,-2.0,0.0,-1.0,1.0,-1.0,1.0,1.0,-2.7450104,1.5707964,-3.033398,-1919.0,-678.0,451.0,22.0,-34.0,-142.0,2.0,1.0,-1.0,1.0,-3.0,-1.0,2.0,2.0,1.6935312,-1.5707964,2.3351967,178.0,361.0,1959.0,33.0,-26.0,29.0
-1.0,-1.0,4.0,-3.0,-1.0,-2.0,-1.0,-1.0,-2.7450104,1.5707964,-3.033398,-1919.0,-678.0,451.0,22.0,-34.0,-142.0,-2.0,-4.0,-3.0,0.0,-3.0,-2.0,-6.0,-6.0,1.693968,-1.5707964,2.3352923,186.0,388.0,1955.0,65.0,4.0,8.0
-1.0,-1.0,4.0,-3.0,-1.0,-2.0,-1.0,-1.0,-2.742056,1.5707964,-3.0298781,-1897.0,-674.0,448.0,29.0,-13.0,-135.0,-2.0,-4.0,-3.0,0.0,-3.0,-2.0,-6.0,-6.0,1.693968,-1.5707964,2.3352923,186.0,388.0,1955.0,65.0,4.0,8.0
0.0,1.0,-3.0,0.0,-1.0,-4.0,-1.0,-1.0,-2.742056,1.5707964,-3.0298781,-1897.0,-674.0,448.0,29.0,-13.0,-135.0,0.0,-2.0,2.0,1.0,0.0,-2.0,1.0,0.0,1.6942537,-1.5707964,2.3353457,182.0,396.0,1962.0,64.0,14.0,3.0
2.0,3.0,-2.0,0.0,-2.0,0.0,-4.0,-1.0,-2.739915,1.5707964,-3.026729,-1892.0,-676.0,440.0,36.0,-3.0,-111.0,0.0,-2.0,2.0,1.0,0.0,-2.0,1.0,0.0,1.6942537,-1.5707964,2.3353457,182.0,396.0,1962.0,64.0,14.0,3.0
-3.0,1.0,-3.0,-1.0,0.0,-3.0,-2.0,-1.0,-2.738303,1.5707964,-3.0243878,-1900.0,-660.0,449.0,53.0,-3.0,-94.0,-5.0,-2.0,2.0,2.0,2.0,1.0,-6.0,-7.0,1.6942537,-1.5707964,2.3353457,182.0,396.0,1962.0,64.0,14.0,3.0
-3.0,1.0,-3.0,-1.0,0.0,-3.0,-2.0,-1.0,-2.738303,1.5707964,-3.0243878,-1900.0,-660.0,449.0,53.0,-3.0,-94.0,-5.0,-2.0,2.0,2.0,2.0,1.0,-6.0,-7.0,1.69455,-1.5707964,2.3352747,174.0,404.0,1954.0,45.0,4.0,-4.0
-2.0,-3.0,0.0,0.0,-2.0,-3.0,-3.0,-2.0,-2.738303,1.5707964,-3.0243878,-1900.0,-660.0,449.0,53.0,-3.0,-94.0,-3.0,-2.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,1.6948885,-1.5707964,2.3351269,191.0,415.0,1945.0,27.0,-7.0,-11.0
-2.0,-3.0,0.0,0.0,-2.0,-3.0,-3.0,-2.0,-2.7364624,1.5707964,-3.0216796,-1891.0,-671.0,456.0,42.0,1.0,-97.0,-3.0,-2.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,1.6948885,-1.5707964,2.3351269,191.0,415.0,1945.0,27.0,-7.0,-11.0
0.0,-4.0,-2.0,0.0,0.0,1.0,-1.0,1.0,-2.7351592,1.5707964,-3.0196483,-1901.0,-689.0,458.0,-5.0,5.0,-67.0,-6.0,-1.0,-1.0,0.0,-5.0,-2.0,1.0,5.0,1.6948885,-1.5707964,2.3351269,191.0,415.0,1945.0,27.0,-7.0,-11.0
0.0,-4.0,-2.0,0.0,0.0,1.0,-1.0,1.0,-2.7351592,1.5707964,-3.0196483,-1901.0,-689.0,458.0,-5.0,5.0,-67.0,-6.0,-1.0,-1.0,0.0,-5.0,-2.0,1.0,5.0,1.6953149,-1.5707964,2.3350656,186.0,419.0,1920.0,20.0,-19.0,-6.0
-1.0,-2.0,-2.0,-2.0,-2.0,-3.0,-2.0,1.0,-2.7346766,1.5707964,-3.0188196,-1916.0,-704.0,454.0,-17.0,0.0,-26.0,-1.0,-2.0,-1.0,0.0,-3.0,-2.0,1.0,-2.0,1.6953149,-1.5707964,2.3350656,186.0,419.0,1920.0,20.0,-19.0,-6.0
1.0,1.0,1.0,1.0,0.0,-2.0,0.0,-1.0,-2.7346766,1.5707964,-3.0188196,-1916.0,-704.0,454.0,-17.0,0.0,-26.0,-4.0,-4.0,1.0,17.0,9.0,-2.0,-7.0,-6.0,1.6963673,-1.5707964,2.3353095,195.0,412.0,1935.0,11.0,-44.0,19.0
-2.0,0.0,-2.0,0.0,2.0,-2.0,0.0,-2.0,-2.7344165,1.5707964,-3.0182927,-1908.0,-688.0,450.0,-4.0,-5.0,-17.0,-3.0,1.0,-2.0,-9.0,-3.0,0.0,-4.0,-1.0,1.6963673,-1.5707964,2.3353095,195.0,412.0,1935.0,11.0,-44.0,19.0
-3.0,-1.0,3.0,0.0,-2.0,0.0,-4.0,2.0,-2.7344165,1.5707964,-3.0182927,-1908.0,-688.0,450.0,-4.0,-5.0,-17.0,1.0,-3.0,-5.0,-11.0,-5.0,-1.0,-5.0,-2.0,1.6970775,-1.5707964,2.3354254,199.0,386.0,1926.0,31.0,-42.0,9.0
-1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,-2.7338357,1.5707964,-3.0175045,-1898.0,-694.0,469.0,16.0,-1.0,-30.0,1.0,-3.0,-5.0,-11.0,-5.0,-1.0,-5.0,-2.0,1.6970775,-1.5707964,2.3354254,199.0,386.0,1926.0,31.0,-42.0,9.0
0.0,-2.0,0.0,0.0,2.0,-2.0,0.0,-1.0,-2.7338357,1.5707964,-3.0175045,-1898.0,-694.0,469.0,16.0,-1.0,-30.0,-5.0,-6.0,-3.0,-3.0,0.0,0.0,18.0,7.0,1.6978378,-1.5707964,2.3354485,205.0,390.0,1927.0,43.0,-41.0,9.0
-1.0,-2.0,1.0,1.0,-4.0,-3.0,-1.0,0.0,-2.732981,1.5707964,-3.0160723,-1874.0,-727.0,473.0,24.0,14.0,-28.0,0.0,0.0,-3.0,-5.0,-1.0,-3.0,2.0,4.0,1.6978378,-1.5707964,2.3354485,205.0,390.0,1927.0,43.0,-41.0,9.0
2.0,-3.0,-1.0,0.0,-2.0,-3.0,1.0,3.0,-2.732981,1.5707964,-3.0160723,-1874.0,-727.0,473.0,24.0,14.0,-28.0,-2.0,0.0,-3.0,-4.0,0.0,-1.0,-2.0,-6.0,1.6986763,-1.5707964,2.3354251,212.0,398.0,1947.0,49.0,-42.0,1.0
0.0,-1.0,0.0,1.0,1.0,0.0,1.0,-1.0,-2.7326078,1.5707964,-3.0147574,-1888.0,-761.0,456.0,27.0,19.0,5.0,1.0,3.0,1.0,-2.0,-1.0,0.0,7.0,18.0,1.6986763,-1.5707964,2.3354251,212.0,398.0,1947.0,49.0,-42.0,1.0
-3.0,1.0,3.0,-3.0,-1.0,0.0,-3.0,-3.0,-2.7326078,1.5707964,-3.0147574,-1888.0,-761.0,456.0,27.0,19.0,5.0,0.0,-3.0,-1.0,-3.0,0.0,-2.0,-8.0,-11.0,1.6995739,-1.5707964,2.3353107,225.0,400.0,1960.0,55.0,-34.0,-13.0
0.0,1.0,0.0,0.0,-1.0,-2.0,-4.0,-3.0,-2.7329135,1.5707964,-3.0147223,-1903.0,-703.0,438.0,62.0,-6.0,9.0,0.0,-3.0,-1.0,-3.0,0.0,-2.0,-8.0,-11.0,1.6995739,-1.5707964,2.3353107,225.0,400.0,1960.0,55.0,-34.0,-13.0
-4.0,-4.0,0.0,1.0,0.0,1.0,-2.0,-1.0,-2.7329135,1.5707964,-3.0147223,-1903.0,-703.0,438.0,62.0,-6.0,9.0,4.0,-1.0,0.0,-2.0,-3.0,-1.0,-2.0,5.0,1.7002885,-1.5707964,2.3351936,221.0,397.0,1957.0,61.0,-23.0,-7.0
1.0,0.0,-1.0,-1.0,1.0,-2.0,-3.0,1.0,-2.732677,1.5707964,-3.0144403,-1894.0,-685.0,461.0,38.0,-11.0,-18.0,-4.0,-4.0,-3.0,-3.0,1.0,-1.0,-1.0,-2.0,1.7002885,-1.5707964,2.3351936,221.0,397.0,1957.0,61.0,-23.0,-7.0
0.0,-3.0,0.0,-3.0,-1.0,-1.0,3.0,-1.0,-2.732677,1.5707964,-3.0144403,-1894.0,-685.0,461.0,38.0,-11.0,-18.0,3.0,0.0,0.0,-3.0,-2.0,-1.0,2.0,3.0,1.701009,-1.5707964,2.335163,224.0,414.0,1965.0,53.0,-15.0,-5.0
-3.0,0.0,-2.0,0.0,1.0,2.0,1.0,-2.0,-2.7318146,1.5707964,-3.0132418,-1885.0,-708.0,457.0,-5.0,2.0,-36.0,2.0,3.0,1.0,-1.0,5.0,0.0,3.0,3.0,1.701009,-1.5707964,2.335163,224.0,414.0,1965.0,53.0,-15.0,-5.0
0.0,0.0,-1.0,-1.0,-3.0,-2.0,-3.0,-4.0,-2.7318146,1.5707964,-3.0132418,-1885.0,-708.0,457.0,-5.0,2.0,-36.0,-3.0,1.0,-2.0,-3.0,0.0,-4.0,-4.0,-1.0,1.7015094,-1.5707964,2.335099,234.0,414.0,1960.0,37.0,-6.0,-7.0
-1.0,0.0,1.0,-1.0,-1.0,-3.0,-2.0,0.0,-2.7305286,1.5707964,-3.0112312,-1879.0,-761.0,457.0,-23.0,10.0,-29.0,-3.0,1.0,-2.0,-3.0,0.0,-4.0,-4.0,-1.0,1.7015094,-1.5707964,2.335099,234.0,414.0,1960.0,37.0,-6.0,-7.0
-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,1.0,-1.0,-2.7305286,1.5707964,-3.0112312,-1879.0,-761.0,457.0,-23.0,10.0,-29.0,-2.0,-2.0,-2.0,-1.0,0.0,-1.0,-2.0,-4.0,1.7018496,-1.5707964,2.3350368,223.0,422.0,1955.0,31.0,1.0,-7.0
-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,1.0,-1.0,-2.729587,1.5707964,-3.0097287,-1898.0,-761.0,449.0,0.0,0.0,-17.0,-2.0,-2.0,-2.0,-1.0,0.0,-1.0,-2.0,-4.0,1.7018496,-1.5707964,2.3350368,223.0,422.0,1955.0,31.0,1.0,-7.0
0.0,0.0,-4.0,-1.0,-2.0,0.0,3.0,-2.0,-2.729587,1.5707964,-3.0097287,-1898.0,-761.0,449.0,0.0,0.0,-17.0,-4.0,-2.0,-3.0,-2.0,-3.0,2.0,0.0,-4.0,1.7019972,-1.5707964,2.3349698,208.0,420.0,1953.0,39.0,13.0,-9.0
0.0,0.0,-4.0,-1.0,-2.0,0.0,3.0,-2.0,-2.7285829,1.5707964,-3.0085094,-1905.0,-711.0,454.0,32.0,-14.0,-45.0,-4.0,-2.0,-3.0,-2.0,-3.0,2.0,0.0,-4.0,1.7019972,-1.5707964,2.3349698,208.0,420.0,1953.0,39.0,13.0,-9.0
-2.0,1.0,4.0,-1.0,-1.0,0.0,-2.0,1.0,-2.7273161,1.5707964,-3.0069969,-1896.0,-705.0,451.0,-5.0,-12.0,-62.0,1.0,-3.0,0.0,-1.0,0.0,0.0,-7.0,-5.0,1.7019972,-1.5707964,2.3349698,208.0,420.0,1953.0,39.0,13.0,-9.0
3.0,1.0,-2.0,-1.0,-1.0,-2.0,-2.0,1.0,-2.7273161,1.5707964,-3.0069969,-1896.0,-705.0,451.0,-5.0,-12.0,-62.0,-2.0,-3.0,1.0,-1.0,-1.0,1.0,-4.0,-4.0,1.7023396,-1.5707964,2.334741,204.0,425.0,1934.0,46.0,20.0,-14.0
-4.0,-2.0,-3.0,-1.0,-3.0,1.0,-4.0,2.0,-2.7259448,1.5707964,-3.0052001,-1879.0,-739.0,454.0,-55.0,-2.0,-43.0,-2.0,1.0,-2.0,-1.0,-1.0,2.0,-4.0,-1.0,1.7023396,-1.5707964,2.334741,204.0,425.0,1934.0,46.0,20.0,-14.0
1.0,0.0,0.0,0.0,-1.0,1.0,-2.0,-2.0,-2.7259448,1.5707964,-3.0052001,-1879.0,-739.0,454.0,-55.0,-2.0,-43.0,1.0,-1.0,1.0,-2.0,-1.0,0.0,-3.0,-1.0,1.7025377,-1.5707964,2.3345797,196.0,437.0,1946.0,47.0,17.0,-20.0
-1.0,-2.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.7247794,1.5707964,-3.00391,-1891.0,-752.0,460.0,-45.0,-4.0,-30.0,0.0,-2.0,-2.0,1.0,1.0,2.0,3.0,5.0,1.7025377,-1.5707964,2.3345797,196.0,437.0,1946.0,47.0,17.0,-20.0
-3.0,-1.0,-3.0,0.0,-1.0,1.0,0.0,0.0,-2.7247794,1.5707964,-3.00391,-1891.0,-752.0,460.0,-45.0,-4.0,-30.0,-3.0,-6.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,1.7026767,-1.5707964,2.3343828,192.0,441.0,1954.0,38.0,14.0,-16.0
-1.0,-3.0,-3.0,0.0,-2.0,-2.0,-1.0,1.0,-2.723707,1.5707964,-3.0027597,-1888.0,-727.0,454.0,5.0,-12.0,-40.0,-3.0,-6.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,1.7026767,-1.5707964,2.3343828,192.0,441.0,1954.0,38.0,14.0,-16.0
-2.0,-2.0,-2.0,-2.0,1.0,0.0,2.0,-2.0,-2.723707,1.5707964,-3.0027597,-1888.0,-727.0,454.0,5.0,-12.0,-40.0,-3.0,0.0,0.0,0.0,1.0,-3.0,1.0,1.0,1.7028009,-1.5707964,2.3343277,207.0,428.0,1945.0,22.0,5.0,-8.0
-1.0,-1.0,3.0,0.0,-2.0,-1.0,0.0,-2.0,-2.7225344,1.5707964,-3.0012968,-1887.0,-717.0,452.0,33.0,-9.0,-55.0,1.0,0.0,-1.0,-4.0,-2.0,-1.0,2.0,-5.0,1.7028009,-1.5707964,2.3343277,207.0,428.0,1945.0,22.0,5.0,-8.0
-1.0,-2.0,-5.0,-1.0,-1.0,-1.0,-1.0,-4.0,-2.7225344,1.5707964,-3.0012968,-1887.0,-717.0,452.0,33.0,-9.0,-55.0,-3.0,-2.0,-4.0,-6.0,-6.0,-4.0,-2.0,2.0,1.7028009,-1.5707964,2.3343277,219.0,426.0,1942.0,12.0,-5.0,0.0
-1.0,0.0,0.0,-3.0,2.0,0.0,1.0,0.0,-2.7215474,1.5707964,-2.9997766,-1879.0,-727.0,465.0,20.0,5.0,-45.0,-1.0,-1.0,0.0,2.0,2.0,1.0,0.0,-5.0,1.7028009,-1.5707964,2.3343277,219.0,426.0,1942.0,12.0,-5.0,0.0
1.0,-2.0,-2.0,-1.0,1.0,-2.0,-1.0,1.0,-2.7215474,1.5707964,-2.9997766,-1879.0,-727.0,465.0,20.0,5.0,-45.0,-1.0,2.0,0.0,0.0,1.0,-4.0,0.0,0.0,1.7028009,-1.5707964,2.3343277,201.0,424.0,1962.0,7.0,-12.0,5.0
1.0,-1.0,1.0,-1.0,-2.0,-1.0,0.0,-2.0,-2.720914,1.5707964,-2.99812,-1884.0,-744.0,441.0,19.0,9.0,-27.0,-1.0,2.0,0.0,0.0,1.0,-4.0,0.0,0.0,1.7028009,-1.5707964,2.3343277,201.0,424.0,1962.0,7.0,-12.0,5.0
