MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
4.0,-5.0,1.0,-2.0,-2.0,-1.0,2.0,0.0,2.3796473,-1.5707964,2.4076128,1294.0,1491.0,468.0,-82.0,-156.0,-211.0,-3.0,-3.0,2.0,-2.0,1.0,-2.0,0.0,-4.0,2.6329544,1.5707964,-2.6537356,-1808.0,869.0,497.0,11.0,-2.0,-3.0
4.0,-5.0,1.0,-2.0,-2.0,-1.0,2.0,0.0,2.3796473,-1.5707964,2.4076128,1294.0,1491.0,468.0,-82.0,-156.0,-211.0,-3.0,-3.0,2.0,-2.0,1.0,-2.0,0.0,-4.0,2.6329544,1.5707964,-2.6537356,-1818.0,863.0,500.0,11.0,0.0,-3.0
-7.0,-1.0,3.0,8.0,1.0,2.0,-2.0,-2.0,2.3796473,-1.5707964,2.4076128,1294.0,1491.0,468.0,-82.0,-156.0,-211.0,-1.0,-4.0,-3.0,-1.0,-4.0,1.0,1.0,1.0,2.6329544,1.5707964,-2.6537356,-1813.0,861.0,507.0,10.0,2.0,-5.0
-7.0,-1.0,3.0,8.0,1.0,2.0,-2.0,-2.0,2.379164,-1.5707964,2.4034083,1329.0,1557.0,405.0,-55.0,2.0,-3.0,2.0,-2.0,0.0,-3.0,-1.0,0.0,-3.0,1.0,2.6329544,1.5707964,-2.6537356,-1813.0,861.0,507.0,10.0,2.0,-5.0
-4.0,-4.0,0.0,-5.0,1.0,-2.0,-1.0,-3.0,2.379164,-1.5707964,2.4034083,1329.0,1557.0,405.0,-55.0,2.0,-3.0,-1.0,-5.0,-2.0,-2.0,1.0,0.0,0.0,-3.0,2.6329544,1.5707964,-2.6537356,-1819.0,865.0,508.0,9.0,-1.0,-7.0
-1.0,0.0,-1.0,-4.0,-3.0,-3.0,-3.0,-3.0,2.3790836,-1.5707964,2.40511,1304.0,1498.0,414.0,-53.0,128.0,118.0,-2.0,-1.0,-1.0,0.0,-2.0,0.0,0.0,-4.0,2.6329544,1.5707964,-2.6537356,-1819.0,865.0,508.0,9.0,-1.0,-7.0
-7.0,-5.0,0.0,6.0,-1.0,-1.0,-2.0,-3.0,2.3790836,-1.5707964,2.40511,1304.0,1498.0,414.0,-53.0,128.0,118.0,-1.0,-2.0,-1.0,-2.0,-2.0,0.0,0.0,2.0,2.6329544,1.5707964,-2.6537356,-1811.0,873.0,511.0,2.0,0.0,-2.0
1.0,0.0,-3.0,-5.0,-1.0,-1.0,-3.0,3.0,2.3790836,-1.5707964,2.40511,1304.0,1498.0,414.0,-53.0,128.0,118.0,1.0,-3.0,0.0,-1.0,1.0,-3.0,-5.0,-2.0,2.6329544,1.5707964,-2.6537356,-1810.0,866.0,504.0,-7.0,-2.0,1.0
1.0,0.0,-3.0,-5.0,-1.0,-1.0,-3.0,3.0,2.379342,-1.5707964,2.4101448,1329.0,1497.0,438.0,-21.0,176.0,187.0,-2.0,1.0,-4.0,-2.0,-1.0,-3.0,-1.0,-1.0,2.6329544,1.5707964,-2.6537356,-1810.0,866.0,504.0,-7.0,-2.0,1.0
1.0,0.0,-2.0,-3.0,-1.0,0.0,0.0,-4.0,2.379342,-1.5707964,2.4101448,1329.0,1497.0,438.0,-21.0,176.0,187.0,1.0,-1.0,-2.0,-2.0,-4.0,-1.0,-3.0,1.0,2.6329544,1.5707964,-2.6537356,-1811.0,866.0,508.0,-3.0,0.0,0.0
1.0,0.0,0.0,-3.0,3.0,-1.0,2.0,-1.0,2.3808484,-1.5707964,2.4156044,1360.0,1546.0,421.0,-30.0,250.0,360.0,-1.0,-4.0,-2.0,0.0,1.0,-3.0,-2.0,-3.0,2.6329544,1.5707964,-2.6537356,-1811.0,866.0,508.0,-3.0,0.0,0.0
2.0,2.0,-7.0,-15.0,-3.0,1.0,0.0,-2.0,2.3808484,-1.5707964,2.4156044,1360.0,1546.0,421.0,-30.0,250.0,360.0,-4.0,-1.0,0.0,-2.0,-1.0,1.0,-2.0,-1.0,2.633057,1.5707964,-2.653887,-1813.0,862.0,498.0,1.0,2.0,0.0
-1.0,-4.0,-3.0,-5.0,-3.0,-4.0,-3.0,1.0,2.3808484,-1.5707964,2.4156044,1360.0,1546.0,421.0,-30.0,250.0,360.0,-1.0,0.0,-3.0,-2.0,-1.0,-3.0,2.0,-3.0,2.6331272,1.5707964,-2.6539624,-1801.0,857.0,510.0,6.0,0.0,0.0
-1.0,-4.0,-3.0,-5.0,-3.0,-4.0,-3.0,1.0,2.3844159,-1.5707964,2.4324718,1353.0,1461.0,448.0,-70.0,408.0,558.0,-3.0,-4.0,0.0,0.0,-1.0,-1.0,0.0,0.0,2.6331272,1.5707964,-2.6539624,-1801.0,857.0,510.0,6.0,0.0,0.0
3.0,-3.0,-1.0,-5.0,-3.0,2.0,-5.0,1.0,2.3844159,-1.5707964,2.4324718,1353.0,1461.0,448.0,-70.0,408.0,558.0,-2.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,-2.0,2.6331272,1.5707964,-2.6539624,-1818.0,860.0,504.0,8.0,1.0,-2.0
-1.0,-1.0,3.0,5.0,4.0,0.0,2.0,-3.0,2.3859894,-1.5707964,2.442975,1355.0,1435.0,480.0,-75.0,489.0,632.0,0.0,3.0,-1.0,-2.0,1.0,-1.0,-1.0,-2.0,2.6331272,1.5707964,-2.6539624,-1818.0,860.0,504.0,8.0,1.0,-2.0
-3.0,1.0,1.0,-2.0,1.0,-2.0,-1.0,1.0,2.3859894,-1.5707964,2.442975,1355.0,1435.0,480.0,-75.0,489.0,632.0,-3.0,1.0,3.0,1.0,-1.0,-2.0,-6.0,1.0,2.6331272,1.5707964,-2.6539624,-1811.0,869.0,501.0,9.0,3.0,0.0
-1.0,-4.0,-7.0,-5.0,2.0,0.0,2.0,0.0,2.3859894,-1.5707964,2.442975,1355.0,1435.0,480.0,-75.0,489.0,632.0,1.0,-1.0,-2.0,-2.0,1.0,-3.0,-2.0,-3.0,2.633098,1.5707964,-2.6539671,-1814.0,866.0,492.0,7.0,0.0,-3.0
-1.0,-4.0,-7.0,-5.0,2.0,0.0,2.0,0.0,2.3902888,-1.5707964,2.468729,1351.0,1359.0,519.0,-91.0,616.0,813.0,1.0,-3.0,2.0,-4.0,1.0,4.0,3.0,0.0,2.633098,1.5707964,-2.6539671,-1814.0,866.0,492.0,7.0,0.0,-3.0
1.0,-3.0,-1.0,-3.0,0.0,0.0,-3.0,-2.0,2.3902888,-1.5707964,2.468729,1351.0,1359.0,519.0,-91.0,616.0,813.0,-3.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,-4.0,2.633098,1.5707964,-2.6539671,-1811.0,870.0,494.0,2.0,1.0,-4.0
-2.0,0.0,-1.0,-3.0,-1.0,1.0,-1.0,-1.0,2.3919,-1.5707964,2.4835148,1341.0,1320.0,549.0,-144.0,713.0,868.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,4.0,2.633098,1.5707964,-2.6539671,-1811.0,870.0,494.0,2.0,1.0,-4.0
-4.0,-3.0,-5.0,0.0,-2.0,-2.0,-1.0,1.0,2.3919,-1.5707964,2.4835148,1341.0,1320.0,549.0,-144.0,713.0,868.0,-2.0,-3.0,-2.0,-2.0,-2.0,1.0,0.0,-5.0,2.6331954,1.5707964,-2.6540844,-1805.0,862.0,506.0,4.0,0.0,-5.0
6.0,4.0,-3.0,-7.0,-3.0,-1.0,-2.0,2.0,2.3919,-1.5707964,2.4835148,1341.0,1320.0,549.0,-144.0,713.0,868.0,2.0,-2.0,-2.0,-3.0,-1.0,-1.0,-3.0,-3.0,2.6332006,1.5707964,-2.6541185,-1805.0,872.0,501.0,-2.0,2.0,-6.0
6.0,4.0,-3.0,-7.0,-3.0,-1.0,-2.0,2.0,2.3913157,-1.5707964,2.5120418,1339.0,1202.0,661.0,-226.0,799.0,793.0,3.0,-5.0,-5.0,2.0,3.0,1.0,-2.0,-1.0,2.6332006,1.5707964,-2.6541185,-1805.0,872.0,501.0,-2.0,2.0,-6.0
0.0,4.0,-2.0,1.0,-6.0,-3.0,1.0,-2.0,2.3913157,-1.5707964,2.5120418,1339.0,1202.0,661.0,-226.0,799.0,793.0,0.0,1.0,-6.0,0.0,0.0,1.0,-1.0,4.0,2.6332705,1.5707964,-2.6541939,-1815.0,867.0,509.0,-13.0,1.0,-2.0
0.0,-1.0,0.0,-3.0,-2.0,-6.0,-3.0,0.0,2.391469,-1.5707964,2.5266275,1365.0,1121.0,717.0,-209.0,785.0,816.0,-1.0,3.0,-2.0,-2.0,-1.0,-3.0,-2.0,-3.0,2.6332705,1.5707964,-2.6541939,-1815.0,867.0,509.0,-13.0,1.0,-2.0
5.0,6.0,1.0,0.0,1.0,-2.0,-2.0,0.0,2.391469,-1.5707964,2.5266275,1365.0,1121.0,717.0,-209.0,785.0,816.0,2.0,-2.0,3.0,-1.0,-3.0,-3.0,-3.0,0.0,2.633483,1.5707964,-2.6544027,-1827.0,860.0,500.0,-18.0,-2.0,-1.0
-5.0,-5.0,3.0,8.0,-2.0,-1.0,-1.0,-7.0,2.3920834,-1.5707964,2.541595,1348.0,1050.0,766.0,-162.0,788.0,843.0,-2.0,-1.0,-2.0,1.0,2.0,0.0,-1.0,0.0,2.633483,1.5707964,-2.6544027,-1827.0,860.0,500.0,-18.0,-2.0,-1.0
-2.0,0.0,2.0,-3.0,0.0,3.0,1.0,-4.0,2.3920834,-1.5707964,2.541595,1348.0,1050.0,766.0,-162.0,788.0,843.0,-1.0,0.0,-2.0,-4.0,-1.0,-2.0,1.0,-1.0,2.633483,1.5707964,-2.6544027,-1818.0,865.0,507.0,-7.0,-4.0,-4.0
-2.0,0.0,2.0,-3.0,0.0,3.0,1.0,-4.0,2.3922713,-1.5707964,2.5556855,1331.0,1033.0,781.0,-78.0,798.0,798.0,-3.0,-2.0,-2.0,0.0,-3.0,-1.0,-3.0,-1.0,2.633483,1.5707964,-2.6544027,-1818.0,865.0,507.0,-7.0,-4.0,-4.0
-3.0,-4.0,-4.0,0.0,4.0,-4.0,-2.0,-1.0,2.3922713,-1.5707964,2.5556855,1331.0,1033.0,781.0,-78.0,798.0,798.0,1.0,-4.0,-3.0,-2.0,3.0,0.0,-1.0,1.0,2.633483,1.5707964,-2.6544027,-1815.0,861.0,498.0,4.0,0.0,-2.0
