MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
-5.0,-9.0,-6.0,-11.0,-4.0,-3.0,-7.0,-11.0,2.8319619,-1.5707964,3.097606,1905.0,614.0,86.0,-10.0,-4.0,4.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,-1.0,1.8541987,1.5707964,2.9709346,-429.0,872.0,1755.0,7.0,4.0,-1.0
-5.0,-9.0,-6.0,-11.0,-4.0,-3.0,-7.0,-11.0,2.8320754,-1.5707964,3.097603,1917.0,605.0,89.0,2.0,-9.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,-1.0,1.8541987,1.5707964,2.9709346,-429.0,872.0,1755.0,7.0,4.0,-1.0
2.0,-14.0,-43.0,-32.0,-7.0,-2.0,0.0,-2.0,2.8320754,-1.5707964,3.097603,1917.0,605.0,89.0,2.0,-9.0,3.0,-4.0,-5.0,1.0,-2.0,-1.0,-2.0,-1.0,0.0,1.8541987,1.5707964,2.9709346,-443.0,879.0,1758.0,8.0,7.0,-3.0
2.0,-14.0,-43.0,-32.0,-7.0,-2.0,0.0,-2.0,2.832087,-1.5707964,3.0972996,1911.0,623.0,86.0,8.0,-17.0,2.0,-4.0,-5.0,1.0,-2.0,-1.0,-2.0,-1.0,0.0,1.8541987,1.5707964,2.9709346,-443.0,879.0,1758.0,8.0,7.0,-3.0
-1.0,-1.0,4.0,3.0,-1.0,2.0,-3.0,-5.0,2.832086,-1.5707964,3.0972035,1903.0,618.0,66.0,-5.0,-10.0,12.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-3.0,-6.0,1.8541987,1.5707964,2.9709346,-443.0,879.0,1758.0,8.0,7.0,-3.0
-1.0,-1.0,4.0,3.0,-1.0,2.0,-3.0,-5.0,2.832086,-1.5707964,3.0972035,1903.0,618.0,66.0,-5.0,-10.0,12.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-3.0,-6.0,1.8542527,1.5707964,2.970944,-448.0,890.0,1754.0,2.0,3.0,-1.0
3.0,-11.0,-10.0,-12.0,0.0,-1.0,4.0,7.0,2.832086,-1.5707964,3.0972035,1903.0,618.0,66.0,-5.0,-10.0,12.0,-2.0,-1.0,0.0,-2.0,1.0,-4.0,0.0,-3.0,1.8542527,1.5707964,2.970944,-434.0,886.0,1747.0,-2.0,-2.0,1.0
3.0,-11.0,-10.0,-12.0,0.0,-1.0,4.0,7.0,2.8320467,-1.5707964,3.0971615,1897.0,619.0,88.0,-1.0,-1.0,11.0,-2.0,-1.0,0.0,-2.0,1.0,-4.0,0.0,-3.0,1.8542527,1.5707964,2.970944,-434.0,886.0,1747.0,-2.0,-2.0,1.0
-4.0,-14.0,-21.0,-37.0,-10.0,0.0,0.0,-3.0,2.8320467,-1.5707964,3.0971615,1907.0,605.0,93.0,8.0,2.0,9.0,-2.0,-3.0,-1.0,-2.0,-1.0,0.0,-2.0,-2.0,1.8542527,1.5707964,2.970944,-434.0,886.0,1747.0,-2.0,-2.0,1.0
-4.0,-14.0,-21.0,-37.0,-10.0,0.0,0.0,-3.0,2.8320467,-1.5707964,3.0971615,1907.0,605.0,93.0,8.0,2.0,9.0,-2.0,-3.0,-1.0,-2.0,-1.0,0.0,-2.0,-2.0,1.8542527,1.5707964,2.970944,-442.0,880.0,1739.0,-1.0,-3.0,-1.0
-1.0,6.0,7.0,26.0,5.0,-1.0,-4.0,-3.0,2.8324623,-1.5707964,3.0972867,1900.0,612.0,84.0,12.0,4.0,21.0,1.0,2.0,-2.0,-3.0,-4.0,-2.0,-2.0,2.0,1.8542527,1.5707964,2.970944,-442.0,880.0,1739.0,-1.0,-3.0,-1.0
