MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
5.0,11.0,3.0,1.0,2.0,0.0,-4.0,2.0,2.4242613,-1.5707964,-2.500199,1421.0,1471.0,334.0,-105.0,259.0,357.0,1.0,-3.0,1.0,-2.0,-4.0,-1.0,-2.0,-2.0,2.648948,1.5707964,-2.831819,-1814.0,993.0,206.0,-6.0,8.0,-3.0
-7.0,-2.0,-21.0,-13.0,-1.0,0.0,-4.0,-1.0,2.4242613,-1.5707964,-2.500199,1421.0,1471.0,334.0,-105.0,259.0,357.0,1.0,-3.0,1.0,-2.0,-4.0,-1.0,-2.0,-2.0,2.6489782,1.5707964,-2.8317516,-1805.0,1000.0,221.0,-14.0,6.0,-1.0
-1.0,-10.0,-6.0,-9.0,-5.0,-3.0,-1.0,-4.0,2.4252696,-1.5707964,-2.4992135,1418.0,1423.0,350.0,-110.0,332.0,420.0,-1.0,1.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,2.6489782,1.5707964,-2.8317516,-1805.0,1000.0,221.0,-14.0,6.0,-1.0
-1.0,2.0,3.0,0.0,1.0,3.0,0.0,2.0,2.4252696,-1.5707964,-2.4992135,1418.0,1423.0,350.0,-110.0,332.0,420.0,0.0,-1.0,-2.0,0.0,3.0,-2.0,-1.0,-2.0,2.6489365,1.5707964,-2.8319151,-1797.0,994.0,215.0,-18.0,7.0,1.0
5.0,16.0,-6.0,-8.0,0.0,1.0,1.0,3.0,2.4264114,-1.5707964,-2.4978282,1395.0,1387.0,348.0,-99.0,405.0,472.0,-2.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,2.6489365,1.5707964,-2.8319151,-1797.0,994.0,215.0,-18.0,7.0,1.0
-2.0,25.0,2.0,0.0,0.0,-2.0,-1.0,-2.0,2.4264114,-1.5707964,-2.4978282,1395.0,1387.0,348.0,-99.0,405.0,472.0,-2.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,2.6489365,1.5707964,-2.8319151,-1804.0,1003.0,213.0,-9.0,9.0,2.0
5.0,-5.0,1.0,2.0,4.0,1.0,-4.0,-3.0,2.4275596,-1.5707964,-2.496064,1403.0,1381.0,368.0,-100.0,463.0,530.0,-1.0,-2.0,0.0,-2.0,-2.0,-3.0,1.0,-2.0,2.6489365,1.5707964,-2.8319151,-1804.0,1003.0,213.0,-9.0,9.0,2.0
-1.0,-6.0,4.0,5.0,-2.0,0.0,-1.0,0.0,2.4275596,-1.5707964,-2.496064,1403.0,1381.0,368.0,-100.0,463.0,530.0,-1.0,-2.0,0.0,-2.0,-2.0,-3.0,1.0,-2.0,2.6489365,1.5707964,-2.8319151,-1818.0,992.0,198.0,3.0,7.0,0.0
-5.0,5.0,7.0,19.0,1.0,0.0,-3.0,-1.0,2.428436,-1.5707964,-2.493825,1402.0,1358.0,411.0,-113.0,521.0,579.0,-2.0,-1.0,-1.0,-2.0,-3.0,0.0,-1.0,-1.0,2.6489365,1.5707964,-2.8319151,-1818.0,992.0,198.0,3.0,7.0,0.0
5.0,-4.0,10.0,1.0,3.0,0.0,2.0,-2.0,2.428436,-1.5707964,-2.493825,1402.0,1358.0,411.0,-113.0,521.0,579.0,1.0,-1.0,-2.0,0.0,-5.0,-1.0,-2.0,0.0,2.6490147,1.5707964,-2.8320775,-1806.0,993.0,209.0,4.0,5.0,-1.0
-2.0,-10.0,9.0,9.0,2.0,-4.0,-2.0,0.0,2.4293175,-1.5707964,-2.4913235,1411.0,1295.0,420.0,-128.0,574.0,611.0,-3.0,-4.0,-1.0,0.0,-2.0,-5.0,-3.0,-1.0,2.6490147,1.5707964,-2.8320775,-1806.0,993.0,209.0,4.0,5.0,-1.0
-4.0,-1.0,2.0,0.0,-2.0,0.0,-3.0,-2.0,2.4293175,-1.5707964,-2.4913235,1411.0,1295.0,420.0,-128.0,574.0,611.0,-3.0,-4.0,-1.0,0.0,-2.0,-5.0,-3.0,-1.0,2.6490834,1.5707964,-2.8322256,-1807.0,1001.0,202.0,4.0,6.0,-2.0
-2.0,2.0,-2.0,-1.0,2.0,1.0,2.0,0.0,2.4299655,-1.5707964,-2.4883306,1421.0,1289.0,447.0,-115.0,630.0,625.0,-5.0,-3.0,-3.0,-2.0,-1.0,1.0,-2.0,0.0,2.6490834,1.5707964,-2.8322256,-1807.0,1001.0,202.0,4.0,6.0,-2.0
-9.0,-6.0,-13.0,-14.0,-1.0,-6.0,-3.0,-3.0,2.4299655,-1.5707964,-2.4883306,1421.0,1289.0,447.0,-115.0,630.0,625.0,-5.0,-3.0,-3.0,-2.0,-1.0,1.0,-2.0,0.0,2.6490834,1.5707964,-2.8322256,-1813.0,999.0,212.0,-3.0,4.0,-4.0
4.0,5.0,-3.0,0.0,-4.0,-4.0,0.0,-3.0,2.4303057,-1.5707964,-2.4847786,1435.0,1274.0,471.0,-121.0,691.0,661.0,-1.0,0.0,-4.0,1.0,0.0,0.0,-1.0,1.0,2.6490834,1.5707964,-2.8322256,-1813.0,999.0,212.0,-3.0,4.0,-4.0
0.0,7.0,0.0,3.0,0.0,-1.0,-2.0,-2.0,2.4303057,-1.5707964,-2.4847786,1435.0,1274.0,471.0,-121.0,691.0,661.0,1.0,-3.0,-1.0,-4.0,-2.0,-3.0,-1.0,-2.0,2.6490834,1.5707964,-2.8322256,-1804.0,1002.0,211.0,-8.0,3.0,-6.0
13.0,22.0,9.0,3.0,-4.0,0.0,4.0,1.0,2.430414,-1.5707964,-2.4807658,1427.0,1241.0,512.0,-132.0,751.0,697.0,0.0,-1.0,-2.0,1.0,3.0,2.0,1.0,-3.0,2.6490834,1.5707964,-2.8322256,-1804.0,1002.0,211.0,-8.0,3.0,-6.0
-8.0,-25.0,3.0,1.0,-4.0,-3.0,0.0,-4.0,2.430414,-1.5707964,-2.4807658,1427.0,1241.0,512.0,-132.0,751.0,697.0,0.0,-1.0,-2.0,1.0,3.0,2.0,1.0,-3.0,2.6490834,1.5707964,-2.8322256,-1811.0,990.0,209.0,-10.0,3.0,-5.0
-5.0,-6.0,-2.0,3.0,1.0,-3.0,-3.0,-3.0,2.4302213,-1.5707964,-2.4765234,1410.0,1201.0,545.0,-154.0,770.0,705.0,-3.0,-2.0,1.0,-1.0,0.0,2.0,0.0,-1.0,2.6490834,1.5707964,-2.8322256,-1811.0,990.0,209.0,-10.0,3.0,-5.0
-3.0,-14.0,1.0,5.0,-2.0,0.0,0.0,0.0,2.4302213,-1.5707964,-2.4765234,1410.0,1201.0,545.0,-154.0,770.0,705.0,-3.0,-2.0,1.0,-1.0,0.0,2.0,0.0,-1.0,2.6490834,1.5707964,-2.8322256,-1804.0,988.0,205.0,-2.0,6.0,-5.0
-4.0,-8.0,0.0,-6.0,-3.0,1.0,3.0,0.0,2.429994,-1.5707964,-2.4722426,1426.0,1182.0,600.0,-165.0,777.0,722.0,-4.0,-1.0,-4.0,1.0,0.0,0.0,0.0,-3.0,2.6490834,1.5707964,-2.8322256,-1804.0,988.0,205.0,-2.0,6.0,-5.0
-3.0,-4.0,0.0,-3.0,1.0,-3.0,2.0,2.0,2.429994,-1.5707964,-2.4722426,1426.0,1182.0,600.0,-165.0,777.0,722.0,1.0,0.0,2.0,-2.0,-2.0,-2.0,-1.0,-1.0,2.6490834,1.5707964,-2.8322256,-1807.0,990.0,201.0,3.0,5.0,-6.0
4.0,11.0,5.0,-9.0,0.0,2.0,-1.0,-3.0,2.4293435,-1.5707964,-2.4674144,1440.0,1143.0,650.0,-161.0,817.0,714.0,-1.0,0.0,-2.0,1.0,-1.0,-2.0,3.0,0.0,2.6490834,1.5707964,-2.8322256,-1807.0,990.0,201.0,3.0,5.0,-6.0
7.0,13.0,2.0,-11.0,-4.0,1.0,0.0,2.0,2.4293435,-1.5707964,-2.4674144,1440.0,1143.0,650.0,-161.0,817.0,714.0,-1.0,0.0,-2.0,1.0,-1.0,-2.0,3.0,0.0,2.6490834,1.5707964,-2.8322256,-1805.0,1000.0,208.0,-3.0,2.0,-8.0
-9.0,-28.0,2.0,1.0,0.0,-2.0,0.0,0.0,2.428197,-1.5707964,-2.462144,1421.0,1092.0,665.0,-145.0,840.0,687.0,-1.0,-4.0,-2.0,1.0,-3.0,1.0,-1.0,-4.0,2.6490834,1.5707964,-2.8322256,-1805.0,1000.0,208.0,-3.0,2.0,-8.0
10.0,7.0,4.0,9.0,1.0,0.0,0.0,-1.0,2.428197,-1.5707964,-2.462144,1421.0,1092.0,665.0,-145.0,840.0,687.0,-1.0,-4.0,-2.0,1.0,-3.0,1.0,-1.0,-4.0,2.6490834,1.5707964,-2.8322256,-1804.0,1005.0,212.0,-7.0,3.0,-6.0
-7.0,-7.0,-11.0,-10.0,-1.0,-2.0,-2.0,-2.0,2.4271894,-1.5707964,-2.457103,1411.0,1057.0,700.0,-95.0,800.0,660.0,-2.0,0.0,1.0,4.0,-2.0,0.0,-1.0,0.0,2.6490834,1.5707964,-2.8322256,-1804.0,1005.0,212.0,-7.0,3.0,-6.0
-5.0,-6.0,0.0,3.0,2.0,0.0,-3.0,0.0,2.4271894,-1.5707964,-2.457103,1411.0,1057.0,700.0,-95.0,800.0,660.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,-3.0,-2.0,2.6490834,1.5707964,-2.8322256,-1808.0,995.0,212.0,-11.0,2.0,-6.0
-6.0,5.0,-5.0,-2.0,4.0,2.0,-1.0,-3.0,2.4269147,-1.5707964,-2.4529128,1431.0,1051.0,755.0,-68.0,739.0,655.0,-3.0,-2.0,-1.0,0.0,0.0,-2.0,-4.0,1.0,2.6490834,1.5707964,-2.8322256,-1808.0,995.0,212.0,-11.0,2.0,-6.0
-1.0,4.0,-1.0,2.0,-1.0,0.0,-1.0,-5.0,2.4269147,-1.5707964,-2.4529128,1431.0,1051.0,755.0,-68.0,739.0,655.0,-3.0,-2.0,-1.0,0.0,0.0,-2.0,-4.0,1.0,2.6490834,1.5707964,-2.8322256,-1808.0,993.0,210.0,-13.0,-1.0,-9.0
-3.0,-3.0,1.0,5.0,-3.0,-3.0,-2.0,1.0,2.4267333,-1.5707964,-2.4490764,1399.0,1019.0,801.0,-35.0,676.0,619.0,-4.0,-2.0,-3.0,-3.0,1.0,1.0,-1.0,0.0,2.6490834,1.5707964,-2.8322256,-1808.0,993.0,210.0,-13.0,-1.0,-9.0
-9.0,-9.0,-3.0,-12.0,1.0,-1.0,-2.0,-2.0,2.4267333,-1.5707964,-2.4490764,1399.0,1019.0,801.0,-35.0,676.0,619.0,-4.0,-2.0,-3.0,-3.0,1.0,1.0,-1.0,0.0,2.6491568,1.5707964,-2.8323286,-1808.0,983.0,211.0,-10.0,2.0,-7.0
3.0,-1.0,-3.0,-7.0,-1.0,0.0,-3.0,-2.0,2.4263408,-1.5707964,-2.4454834,1395.0,956.0,829.0,-4.0,603.0,533.0,2.0,-2.0,-1.0,-2.0,2.0,1.0,0.0,0.0,2.6491568,1.5707964,-2.8323286,-1808.0,983.0,211.0,-10.0,2.0,-7.0
4.0,2.0,0.0,5.0,-3.0,0.0,1.0,0.0,2.4263408,-1.5707964,-2.4454834,1395.0,956.0,829.0,-4.0,603.0,533.0,-1.0,2.0,-1.0,1.0,-1.0,-3.0,-4.0,-4.0,2.6491616,1.5707964,-2.832388,-1803.0,1000.0,210.0,-6.0,3.0,-4.0
-1.0,-1.0,-5.0,0.0,-2.0,-1.0,1.0,0.0,2.4257877,-1.5707964,-2.4420924,1431.0,941.0,871.0,74.0,543.0,453.0,-1.0,-2.0,-2.0,-1.0,-3.0,-2.0,-1.0,-4.0,2.6491616,1.5707964,-2.832388,-1803.0,1000.0,210.0,-6.0,3.0,-4.0
7.0,-2.0,-4.0,5.0,1.0,2.0,0.0,1.0,2.4257877,-1.5707964,-2.4420924,1431.0,941.0,871.0,74.0,543.0,453.0,-1.0,-2.0,-2.0,-1.0,-3.0,-2.0,-1.0,-4.0,2.6491873,1.5707964,-2.832261,-1816.0,985.0,210.0,4.0,1.0,-5.0
1.0,-2.0,-5.0,-3.0,0.0,-2.0,-6.0,1.0,2.4255724,-1.5707964,-2.4392915,1451.0,949.0,878.0,115.0,493.0,423.0,0.0,0.0,-3.0,-1.0,0.0,2.0,2.0,4.0,2.6491873,1.5707964,-2.832261,-1816.0,985.0,210.0,4.0,1.0,-5.0
0.0,5.0,-9.0,-8.0,-6.0,-1.0,-4.0,2.0,2.4255724,-1.5707964,-2.4392915,1451.0,949.0,878.0,115.0,493.0,423.0,0.0,0.0,-3.0,-1.0,0.0,2.0,2.0,4.0,2.6492512,1.5707964,-2.8323498,-1831.0,995.0,212.0,11.0,-2.0,-9.0
4.0,17.0,9.0,6.0,-1.0,0.0,0.0,-3.0,2.4253993,-1.5707964,-2.4368827,1410.0,965.0,885.0,93.0,433.0,411.0,-4.0,-1.0,-1.0,-2.0,-5.0,0.0,-1.0,0.0,2.6492512,1.5707964,-2.8323498,-1831.0,995.0,212.0,11.0,-2.0,-9.0
-4.0,-5.0,3.0,5.0,-3.0,-6.0,-3.0,-2.0,2.4253993,-1.5707964,-2.4368827,1410.0,965.0,885.0,93.0,433.0,411.0,-2.0,0.0,-4.0,-2.0,0.0,-3.0,1.0,0.0,2.6492512,1.5707964,-2.8323498,-1818.0,995.0,216.0,-1.0,-10.0,-10.0
-2.0,1.0,-10.0,-6.0,-4.0,-2.0,-5.0,2.0,2.424719,-1.5707964,-2.434478,1349.0,955.0,924.0,58.0,348.0,341.0,-2.0,0.0,1.0,2.0,2.0,-1.0,-1.0,0.0,2.6492512,1.5707964,-2.8323498,-1818.0,995.0,216.0,-1.0,-10.0,-10.0
-2.0,8.0,-4.0,5.0,2.0,-2.0,2.0,0.0,2.424719,-1.5707964,-2.434478,1349.0,955.0,924.0,58.0,348.0,341.0,-2.0,0.0,1.0,2.0,2.0,-1.0,-1.0,0.0,2.6492512,1.5707964,-2.8323498,-1788.0,991.0,219.0,-12.0,-10.0,-10.0
-3.0,-3.0,-4.0,-5.0,2.0,0.0,1.0,0.0,2.4238691,-1.5707964,-2.4324737,1326.0,931.0,945.0,-65.0,235.0,244.0,-1.0,-4.0,-1.0,-1.0,-3.0,0.0,-2.0,-1.0,2.6492512,1.5707964,-2.8323498,-1788.0,991.0,219.0,-12.0,-10.0,-10.0
4.0,3.0,-3.0,-12.0,-9.0,-4.0,1.0,-1.0,2.4238691,-1.5707964,-2.4324737,1326.0,931.0,945.0,-65.0,235.0,244.0,-1.0,-4.0,-1.0,-1.0,-3.0,0.0,-2.0,-1.0,2.6491873,1.5707964,-2.832261,-1800.0,988.0,217.0,-8.0,-2.0,-4.0
1.0,1.0,2.0,-3.0,-9.0,-4.0,0.0,-2.0,2.4234784,-1.5707964,-2.431421,1329.0,905.0,950.0,-168.0,101.0,148.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6491873,1.5707964,-2.832261,-1800.0,988.0,217.0,-8.0,-2.0,-4.0
2.0,-5.0,-1.0,-10.0,0.0,-1.0,-1.0,1.0,2.4234784,-1.5707964,-2.431421,1329.0,905.0,950.0,-168.0,101.0,148.0,-3.0,0.0,3.0,0.0,2.0,-2.0,-5.0,-1.0,2.6492512,1.5707964,-2.8323498,-1800.0,982.0,207.0,-5.0,-3.0,-3.0
-5.0,-5.0,6.0,0.0,-3.0,-3.0,-3.0,1.0,2.4238234,-1.5707964,-2.4315662,1330.0,872.0,943.0,-187.0,-48.0,44.0,0.0,-4.0,0.0,-2.0,-3.0,0.0,-2.0,-1.0,2.6492512,1.5707964,-2.8323498,-1800.0,982.0,207.0,-5.0,-3.0,-3.0
