MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
-4.0,-2.0,-1.0,1.0,0.0,-1.0,0.0,-6.0,2.489922,-1.5707964,2.531538,1546.0,1147.0,435.0,-215.0,1104.0,895.0,-1.0,1.0,-1.0,-3.0,-1.0,1.0,-2.0,-1.0,2.6034584,1.5707964,-2.6014462,-1773.0,980.0,386.0,-8.0,7.0,-4.0
-4.0,-2.0,-1.0,1.0,0.0,-1.0,0.0,-6.0,2.489922,-1.5707964,2.531538,1546.0,1147.0,435.0,-215.0,1104.0,895.0,-1.0,1.0,-1.0,-3.0,-1.0,1.0,-2.0,-1.0,2.6035411,1.5707964,-2.6015532,-1781.0,981.0,388.0,1.0,0.0,-4.0
-3.0,-6.0,-5.0,-11.0,-1.0,1.0,1.0,-4.0,2.4889178,-1.5707964,2.5483801,1565.0,1083.0,509.0,-199.0,1220.0,889.0,-2.0,-3.0,-3.0,1.0,-1.0,-3.0,-2.0,0.0,2.6035411,1.5707964,-2.6015532,-1781.0,981.0,388.0,1.0,0.0,-4.0
-3.0,-6.0,-5.0,-11.0,-1.0,1.0,1.0,-4.0,2.4889178,-1.5707964,2.5483801,1565.0,1083.0,509.0,-199.0,1220.0,889.0,-2.0,-3.0,-3.0,1.0,-1.0,-3.0,-2.0,0.0,2.6035411,1.5707964,-2.6015532,-1771.0,997.0,388.0,6.0,-2.0,-8.0
-3.0,0.0,4.0,1.0,-1.0,-2.0,0.0,4.0,2.4889178,-1.5707964,2.5483801,1565.0,1083.0,509.0,-199.0,1220.0,889.0,-3.0,-1.0,0.0,-4.0,-3.0,1.0,3.0,0.0,2.6036098,1.5707964,-2.6016276,-1778.0,996.0,373.0,-5.0,0.0,-11.0
-3.0,0.0,4.0,1.0,-1.0,-2.0,0.0,4.0,2.4873857,-1.5707964,2.5654836,1514.0,995.0,562.0,-187.0,1307.0,909.0,-3.0,-1.0,0.0,-4.0,-3.0,1.0,3.0,0.0,2.6036098,1.5707964,-2.6016276,-1778.0,996.0,373.0,-5.0,0.0,-11.0
0.0,-2.0,1.0,2.0,-1.0,-1.0,0.0,2.0,2.484647,-1.5707964,2.5815794,1443.0,914.0,642.0,-119.0,1330.0,866.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-4.0,2.6036098,1.5707964,-2.6016276,-1778.0,996.0,373.0,-5.0,0.0,-11.0
3.0,1.0,-5.0,-3.0,-2.0,1.0,0.0,0.0,2.484647,-1.5707964,2.5815794,1443.0,914.0,642.0,-119.0,1330.0,866.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-4.0,2.6040552,1.5707964,-2.6022563,-1762.0,995.0,371.0,-48.0,11.0,-20.0
-5.0,-2.0,-2.0,-4.0,-1.0,-2.0,-1.0,-5.0,2.4807847,-1.5707964,2.5960374,1389.0,883.0,704.0,-6.0,1294.0,790.0,0.0,-80.0,2.0,-1.0,2.0,-2.0,-4.0,1.0,2.6040552,1.5707964,-2.6022563,-1762.0,995.0,371.0,-48.0,11.0,-20.0
-5.0,-2.0,-2.0,-4.0,-1.0,-2.0,-1.0,-5.0,2.4807847,-1.5707964,2.5960374,1389.0,883.0,704.0,-6.0,1294.0,790.0,0.0,-80.0,2.0,-1.0,2.0,-2.0,-4.0,1.0,2.604549,1.5707964,-2.6030297,-1775.0,1033.0,370.0,-88.0,31.0,-29.0
1.0,-1.0,-3.0,1.0,-2.0,3.0,1.0,1.0,2.4807847,-1.5707964,2.5960374,1389.0,883.0,704.0,-6.0,1294.0,790.0,-3.0,55.0,-35.0,0.0,-1.0,-2.0,2.0,0.0,2.6047578,1.5707964,-2.6035793,-1799.0,1063.0,364.0,-137.0,37.0,-19.0
