MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
-5.0,-6.0,-9.0,-4.0,7.0,4.0,1.0,-3.0,-1.9406195,-1.5707964,-2.496304,659.0,-888.0,1632.0,-27.0,-13.0,22.0,2.0,1.0,8.0,15.0,-8.0,-10.0,-7.0,1.0,1.8486807,-1.5707964,2.5640175,476.0,762.0,1757.0,-11.0,-1.0,-6.0
-5.0,-6.0,-9.0,-4.0,7.0,4.0,1.0,-3.0,-1.9406195,-1.5707964,-2.496304,659.0,-888.0,1632.0,-27.0,-13.0,22.0,2.0,1.0,8.0,15.0,-8.0,-10.0,-7.0,1.0,1.8486835,-1.5707964,2.5638952,482.0,757.0,1792.0,-5.0,-17.0,-12.0
0.0,5.0,-4.0,-17.0,3.0,0.0,-2.0,3.0,-1.9408892,-1.5707964,-2.496056,670.0,-885.0,1614.0,-8.0,-22.0,18.0,1.0,9.0,6.0,-1.0,-6.0,2.0,0.0,0.0,1.8486835,-1.5707964,2.5638952,482.0,757.0,1792.0,-5.0,-17.0,-12.0
3.0,4.0,-1.0,-4.0,-2.0,-1.0,1.0,0.0,-1.9409535,-1.5707964,-2.495755,679.0,-870.0,1620.0,6.0,-16.0,23.0,-1.0,-2.0,-2.0,-4.0,1.0,-1.0,-4.0,-3.0,1.8486835,-1.5707964,2.5638952,482.0,757.0,1792.0,-5.0,-17.0,-12.0
2.0,3.0,9.0,2.0,-15.0,-3.0,-1.0,2.0,-1.9408494,-1.5707964,-2.4953907,664.0,-868.0,1607.0,-3.0,-3.0,31.0,-13.0,-11.0,-7.0,-20.0,-11.0,1.0,6.0,-1.0,1.8486835,-1.5707964,2.5638952,482.0,757.0,1792.0,-5.0,-17.0,-12.0
0.0,0.0,-8.0,-35.0,-4.0,1.0,2.0,0.0,-1.9410768,-1.5707964,-2.4950976,673.0,-887.0,1606.0,-28.0,-8.0,24.0,3.0,3.0,4.0,20.0,16.0,11.0,2.0,1.0,1.8486835,-1.5707964,2.5638952,482.0,757.0,1792.0,-5.0,-17.0,-12.0
-3.0,-2.0,5.0,25.0,4.0,0.0,-1.0,-3.0,-1.9410768,-1.5707964,-2.4950976,673.0,-887.0,1606.0,-28.0,-8.0,24.0,3.0,3.0,4.0,20.0,16.0,11.0,2.0,1.0,1.8490047,-1.5707964,2.562713,488.0,770.0,1789.0,2.0,-17.0,-33.0
-1.0,0.0,-5.0,-7.0,-20.0,-8.0,-1.0,0.0,-1.9415337,-1.5707964,-2.4948144,674.0,-886.0,1623.0,-40.0,-24.0,17.0,3.0,3.0,4.0,20.0,16.0,11.0,2.0,1.0,1.8490047,-1.5707964,2.562713,488.0,770.0,1789.0,2.0,-17.0,-33.0
-1.0,1.0,6.0,14.0,8.0,3.0,-3.0,1.0,-1.9415337,-1.5707964,-2.4948144,674.0,-886.0,1623.0,-40.0,-24.0,17.0,3.0,10.0,12.0,24.0,11.0,2.0,2.0,0.0,1.8491127,-1.5707964,2.562345,487.0,758.0,1780.0,-2.0,-20.0,-35.0
-1.0,-5.0,2.0,23.0,12.0,3.0,-2.0,-3.0,-1.9421606,-1.5707964,-2.4945948,685.0,-886.0,1607.0,-30.0,-28.0,15.0,0.0,-1.0,0.0,-10.0,6.0,-1.0,-4.0,-3.0,1.8491127,-1.5707964,2.562345,487.0,758.0,1780.0,-2.0,-20.0,-35.0
