MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
-2.0,-5.0,-2.0,3.0,3.0,-2.0,2.0,1.0,-2.484977,-1.5707964,2.480676,1091.0,-396.0,1679.0,38.0,7.0,-396.0,-1.0,1.0,-3.0,-6.0,-2.0,-3.0,-6.0,-2.0,2.0607786,-1.5707964,2.218649,879.0,1044.0,1523.0,137.0,38.0,506.0
-2.0,-5.0,-2.0,3.0,3.0,-2.0,2.0,1.0,-2.484977,-1.5707964,2.480676,1091.0,-396.0,1679.0,38.0,7.0,-396.0,-1.0,1.0,-3.0,-6.0,-2.0,-3.0,-6.0,-2.0,2.0656488,-1.5707964,2.207461,885.0,1016.0,1497.0,104.0,35.0,656.0
-3.0,-9.0,-3.0,-7.0,-5.0,-2.0,0.0,0.0,-2.4954257,-1.5707964,2.4762976,1065.0,-388.0,1660.0,-11.0,56.0,-429.0,1.0,-4.0,1.0,-4.0,1.0,4.0,1.0,-1.0,2.0656488,-1.5707964,2.207461,885.0,1016.0,1497.0,104.0,35.0,656.0
-3.0,-9.0,-3.0,-7.0,-5.0,-2.0,0.0,0.0,-2.4954257,-1.5707964,2.4762976,1065.0,-388.0,1660.0,-11.0,56.0,-429.0,1.0,-4.0,1.0,-4.0,1.0,4.0,1.0,-1.0,2.0714078,-1.5707964,2.1968777,974.0,977.0,1484.0,108.0,78.0,733.0
1.0,0.0,9.0,16.0,2.0,-2.0,-1.0,1.0,-2.4954257,-1.5707964,2.4762976,1065.0,-388.0,1660.0,-11.0,56.0,-429.0,-4.0,-3.0,-1.0,-2.0,-3.0,-1.0,-2.0,1.0,2.076911,-1.5707964,2.1863527,1020.0,908.0,1493.0,96.0,127.0,744.0
-2.0,-4.0,-1.0,-6.0,-3.0,1.0,-5.0,-7.0,-2.5205812,-1.5707964,2.465994,958.0,-325.0,1643.0,-21.0,7.0,-530.0,4.0,2.0,-3.0,6.0,3.0,-4.0,-1.0,-5.0,2.076911,-1.5707964,2.1863527,1020.0,908.0,1493.0,96.0,127.0,744.0
-2.0,-4.0,-1.0,-6.0,-3.0,1.0,-5.0,-7.0,-2.5205812,-1.5707964,2.465994,958.0,-325.0,1643.0,-21.0,7.0,-530.0,4.0,2.0,-3.0,6.0,3.0,-4.0,-1.0,-5.0,2.0826743,-1.5707964,2.1800497,1032.0,838.0,1506.0,65.0,82.0,668.0
-1.0,-2.0,-1.0,-7.0,-10.0,-1.0,-2.0,-2.0,-2.544362,-1.5707964,2.4597657,946.0,-352.0,1659.0,31.0,-1.0,-627.0,0.0,0.0,-1.0,-3.0,0.0,-1.0,2.0,1.0,2.0826743,-1.5707964,2.1800497,1032.0,838.0,1506.0,65.0,82.0,668.0
-1.0,-2.0,-1.0,-7.0,-10.0,-1.0,-2.0,-2.0,-2.544362,-1.5707964,2.4597657,946.0,-352.0,1659.0,31.0,-1.0,-627.0,-2.0,3.0,1.0,-3.0,-4.0,-4.0,-4.0,1.0,2.0885906,-1.5707964,2.1757047,997.0,802.0,1462.0,31.0,59.0,655.0
2.0,6.0,3.0,0.0,-9.0,-1.0,0.0,1.0,-2.544362,-1.5707964,2.4597657,946.0,-352.0,1659.0,31.0,-1.0,-627.0,-2.0,-5.0,-4.0,-8.0,-2.0,-4.0,-2.0,-4.0,2.093431,-1.5707964,2.1712675,1010.0,761.0,1470.0,-2.0,85.0,570.0
-1.0,5.0,3.0,15.0,11.0,-2.0,3.0,-2.0,-2.6278913,-1.5707964,2.4461355,1021.0,-165.0,1623.0,204.0,63.0,-614.0,-4.0,-3.0,1.0,-2.0,-6.0,-6.0,-2.0,-1.0,2.093431,-1.5707964,2.1712675,1010.0,761.0,1470.0,-2.0,85.0,570.0
-1.0,5.0,3.0,15.0,11.0,-2.0,3.0,-2.0,-2.6278913,-1.5707964,2.4461355,1021.0,-165.0,1623.0,204.0,63.0,-614.0,-4.0,-3.0,1.0,-2.0,-6.0,-6.0,-2.0,-1.0,2.096722,-1.5707964,2.1664014,1007.0,715.0,1478.0,43.0,116.0,458.0
2.0,2.0,3.0,-12.0,-4.0,-1.0,-1.0,-3.0,-2.6699166,-1.5707964,2.440731,1035.0,-114.0,1580.0,145.0,18.0,-515.0,2.0,-3.0,2.0,-4.0,-4.0,-5.0,-1.0,-7.0,2.096722,-1.5707964,2.1664014,1007.0,715.0,1478.0,43.0,116.0,458.0
2.0,2.0,3.0,-12.0,-4.0,-1.0,-1.0,-3.0,-2.6699166,-1.5707964,2.440731,1035.0,-114.0,1580.0,145.0,18.0,-515.0,2.0,-3.0,2.0,-4.0,-4.0,-5.0,-1.0,-7.0,2.099979,-1.5707964,2.1637473,1035.0,719.0,1453.0,64.0,93.0,365.0
3.0,-3.0,-5.0,-18.0,-5.0,-3.0,-2.0,-2.0,-2.6699166,-1.5707964,2.440731,1035.0,-114.0,1580.0,145.0,18.0,-515.0,-4.0,4.0,-2.0,-6.0,2.0,3.0,-5.0,-2.0,2.1018307,-1.5707964,2.1612675,1051.0,749.0,1457.0,49.0,96.0,248.0
1.0,-1.0,0.0,3.0,0.0,-4.0,0.0,2.0,-2.6699166,-1.5707964,2.440731,1035.0,-114.0,1580.0,145.0,18.0,-515.0,-1.0,1.0,-1.0,0.0,-6.0,-20.0,2.0,5.0,2.1024497,-1.5707964,2.1582975,1023.0,749.0,1451.0,52.0,100.0,165.0
1.0,-1.0,0.0,3.0,0.0,-4.0,0.0,2.0,-2.7377532,-1.5707964,2.4331353,1088.0,-99.0,1546.0,86.0,37.0,-336.0,0.0,1.0,1.0,3.0,2.0,0.0,-4.0,-4.0,2.1024497,-1.5707964,2.1582975,1023.0,749.0,1451.0,52.0,100.0,165.0
-4.0,-4.0,-1.0,6.0,1.0,1.0,-2.0,-2.0,-2.7632766,-1.5707964,2.4299905,1080.0,-62.0,1561.0,88.0,79.0,-250.0,1.0,-3.0,-3.0,-7.0,1.0,-21.0,3.0,-7.0,2.1024497,-1.5707964,2.1582975,1023.0,749.0,1451.0,52.0,100.0,165.0
-4.0,-4.0,-1.0,6.0,1.0,1.0,-2.0,-2.0,-2.7632766,-1.5707964,2.4299905,1080.0,-62.0,1561.0,88.0,79.0,-250.0,1.0,-3.0,-3.0,-7.0,1.0,-21.0,3.0,-7.0,2.1027167,-1.5707964,2.1559243,1011.0,759.0,1445.0,22.0,82.0,117.0
0.0,-6.0,-3.0,0.0,0.0,-1.0,0.0,-3.0,-2.7870677,-1.5707964,2.4275727,1079.0,-32.0,1536.0,89.0,68.0,-183.0,-3.0,-2.0,-6.0,-11.0,-4.0,28.0,-6.0,-4.0,2.1027167,-1.5707964,2.1559243,1011.0,759.0,1445.0,22.0,82.0,117.0
0.0,-6.0,-3.0,0.0,0.0,-1.0,0.0,-3.0,-2.7870677,-1.5707964,2.4275727,1079.0,-32.0,1536.0,89.0,68.0,-183.0,-3.0,-2.0,-6.0,-11.0,-4.0,28.0,-6.0,-4.0,2.1028078,-1.5707964,2.1543071,1038.0,769.0,1453.0,-4.0,69.0,60.0
0.0,-6.0,-3.0,0.0,0.0,-1.0,0.0,-3.0,-2.8059216,-1.5707964,2.4255693,1098.0,-16.0,1526.0,56.0,87.0,-135.0,3.0,-1.0,-1.0,0.0,0.0,13.0,-3.0,0.0,2.1028078,-1.5707964,2.1543071,1038.0,769.0,1453.0,-4.0,69.0,60.0
2.0,-5.0,-3.0,-7.0,0.0,0.0,1.0,2.0,-2.8059216,-1.5707964,2.4255693,1098.0,-16.0,1526.0,56.0,87.0,-135.0,-1.0,-3.0,-2.0,-4.0,0.0,14.0,-11.0,-2.0,2.1020796,-1.5707964,2.1526475,1010.0,754.0,1440.0,-19.0,66.0,-11.0
-2.0,-2.0,3.0,-6.0,1.0,-5.0,-1.0,-5.0,-2.8143537,-1.5707964,2.42352,1070.0,-42.0,1547.0,3.0,141.0,-92.0,-3.0,3.0,-4.0,-5.0,-4.0,-1.0,-5.0,1.0,2.1020796,-1.5707964,2.1526475,1010.0,754.0,1440.0,-19.0,66.0,-11.0
