MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
-2.0,-1.0,-2.0,0.0,-2.0,0.0,-1.0,1.0,-2.693675,1.5707964,-2.8626497,-1852.0,-726.0,549.0,-5.0,2.0,-5.0,-2.0,-4.0,-5.0,-10.0,10.0,4.0,-2.0,-3.0,2.2410147,-1.5707964,2.3912187,961.0,1561.0,745.0,-96.0,4.0,115.0
-3.0,-2.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-2.693604,1.5707964,-2.8625472,-1874.0,-742.0,546.0,-7.0,6.0,-2.0,-2.0,-2.0,2.0,-1.0,-17.0,-2.0,0.0,4.0,2.2410147,-1.5707964,2.3912187,961.0,1561.0,745.0,-96.0,4.0,115.0
-1.0,1.0,0.0,1.0,0.0,1.0,1.0,-1.0,-2.693604,1.5707964,-2.8625472,-1874.0,-742.0,546.0,-7.0,6.0,-2.0,-2.0,-2.0,2.0,-1.0,-17.0,-2.0,0.0,4.0,2.2410839,-1.5707964,2.3923566,978.0,1551.0,758.0,-85.0,-9.0,110.0
-3.0,-1.0,-2.0,0.0,-1.0,-2.0,2.0,-3.0,-2.693604,1.5707964,-2.8625472,-1871.0,-741.0,542.0,0.0,4.0,4.0,5.0,8.0,2.0,12.0,-3.0,-3.0,5.0,10.0,2.2410839,-1.5707964,2.3923566,978.0,1551.0,758.0,-85.0,-9.0,110.0
0.0,2.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-2.693604,1.5707964,-2.8625472,-1871.0,-741.0,542.0,0.0,4.0,4.0,-3.0,-2.0,-1.0,0.0,-5.0,-5.0,-11.0,-4.0,2.2414227,-1.5707964,2.3933969,1001.0,1543.0,767.0,-74.0,-20.0,106.0
-3.0,-2.0,-2.0,-2.0,-1.0,-3.0,0.0,0.0,-2.693604,1.5707964,-2.8625472,-1860.0,-735.0,551.0,5.0,5.0,4.0,-6.0,-7.0,-2.0,-9.0,-4.0,-2.0,0.0,-6.0,2.2414227,-1.5707964,2.3933969,1001.0,1543.0,767.0,-74.0,-20.0,106.0
2.0,-1.0,2.0,-1.0,-2.0,0.0,-1.0,1.0,-2.693604,1.5707964,-2.8625472,-1860.0,-735.0,551.0,5.0,5.0,4.0,0.0,2.0,0.0,-3.0,2.0,-4.0,1.0,0.0,2.2418463,-1.5707964,2.394543,1003.0,1534.0,758.0,-52.0,-13.0,107.0
1.0,-1.0,-1.0,0.0,0.0,-3.0,-3.0,-1.0,-2.693604,1.5707964,-2.8625472,-1853.0,-725.0,569.0,5.0,7.0,-1.0,1.0,5.0,8.0,14.0,-1.0,0.0,-3.0,3.0,2.2418463,-1.5707964,2.394543,1003.0,1534.0,758.0,-52.0,-13.0,107.0
-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.693604,1.5707964,-2.8625472,-1853.0,-725.0,569.0,5.0,7.0,-1.0,1.0,5.0,8.0,14.0,-1.0,0.0,-3.0,3.0,2.2423081,-1.5707964,2.395529,990.0,1546.0,753.0,-41.0,-3.0,99.0
-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.693604,1.5707964,-2.8625472,-1848.0,-734.0,554.0,1.0,8.0,-4.0,-5.0,-4.0,-8.0,-19.0,-8.0,-5.0,-7.0,-8.0,2.2423081,-1.5707964,2.395529,990.0,1546.0,753.0,-41.0,-3.0,99.0
-1.0,-2.0,-2.0,1.0,-1.0,-3.0,-2.0,-3.0,-2.693604,1.5707964,-2.8625472,-1848.0,-734.0,554.0,1.0,8.0,-4.0,-2.0,-3.0,-6.0,-13.0,11.0,4.0,2.0,-4.0,2.242667,-1.5707964,2.3962657,991.0,1551.0,756.0,-43.0,-18.0,88.0
1.0,1.0,1.0,-3.0,0.0,-1.0,-1.0,-3.0,-2.693604,1.5707964,-2.8625472,-1866.0,-733.0,553.0,-2.0,5.0,-8.0,-1.0,-1.0,0.0,-2.0,7.0,-2.0,-6.0,-1.0,2.242667,-1.5707964,2.3962657,991.0,1551.0,756.0,-43.0,-18.0,88.0
0.0,-1.0,0.0,-1.0,-2.0,1.0,0.0,-4.0,-2.693604,1.5707964,-2.8625472,-1866.0,-733.0,553.0,-2.0,5.0,-8.0,-1.0,-7.0,-15.0,-32.0,1.0,5.0,5.0,0.0,2.243072,-1.5707964,2.3972435,1016.0,1538.0,765.0,-64.0,-18.0,94.0
0.0,-1.0,0.0,-1.0,-2.0,1.0,0.0,-4.0,-2.6935313,1.5707964,-2.8623872,-1862.0,-736.0,547.0,-7.0,-1.0,-6.0,-1.0,-7.0,-15.0,-32.0,1.0,5.0,5.0,0.0,2.243072,-1.5707964,2.3972435,1016.0,1538.0,765.0,-64.0,-18.0,94.0
-4.0,-2.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,-2.6935313,1.5707964,-2.8623872,-1862.0,-736.0,547.0,-7.0,-1.0,-6.0,-2.0,-2.0,6.0,12.0,15.0,-1.0,-2.0,0.0,2.243448,-1.5707964,2.3982685,1017.0,1534.0,758.0,-47.0,-3.0,91.0
-4.0,-2.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,-2.6935313,1.5707964,-2.8623872,-1854.0,-744.0,555.0,-12.0,1.0,-5.0,-2.0,-2.0,6.0,12.0,15.0,-1.0,-2.0,0.0,2.243448,-1.5707964,2.3982685,1017.0,1534.0,758.0,-47.0,-3.0,91.0
3.0,2.0,-3.0,-1.0,0.0,-1.0,-4.0,0.0,-2.6935313,1.5707964,-2.8623872,-1854.0,-744.0,555.0,-12.0,1.0,-5.0,-3.0,-6.0,-8.0,-12.0,-20.0,-6.0,6.0,0.0,2.2437847,-1.5707964,2.3991227,1011.0,1547.0,762.0,-49.0,-2.0,88.0
3.0,2.0,-3.0,-1.0,0.0,-1.0,-4.0,0.0,-2.6934502,1.5707964,-2.8623815,-1860.0,-735.0,564.0,-3.0,2.0,-7.0,-3.0,-6.0,-8.0,-12.0,-20.0,-6.0,6.0,0.0,2.2437847,-1.5707964,2.3991227,1011.0,1547.0,762.0,-49.0,-2.0,88.0
-1.0,-1.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,-2.6934502,1.5707964,-2.8623815,-1860.0,-735.0,564.0,-3.0,2.0,-7.0,-1.0,1.0,-8.0,-4.0,-3.0,1.0,0.0,-1.0,2.24413,-1.5707964,2.4001064,1019.0,1526.0,762.0,-48.0,-4.0,91.0
-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,-2.6934502,1.5707964,-2.8623815,-1866.0,-737.0,551.0,9.0,-3.0,-9.0,-1.0,-1.0,8.0,16.0,2.0,-1.0,-3.0,2.0,2.24413,-1.5707964,2.4001064,1019.0,1526.0,762.0,-48.0,-4.0,91.0
1.0,-1.0,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,-2.6934502,1.5707964,-2.8623815,-1866.0,-737.0,551.0,9.0,-3.0,-9.0,-1.0,-1.0,8.0,16.0,2.0,-1.0,-3.0,2.0,2.2443168,-1.5707964,2.401164,1014.0,1532.0,784.0,-48.0,0.0,96.0
-4.0,1.0,3.0,-1.0,-2.0,-2.0,-2.0,1.0,-2.6935313,1.5707964,-2.8623872,-1857.0,-726.0,538.0,1.0,-2.0,-8.0,2.0,1.0,1.0,6.0,14.0,4.0,-2.0,-2.0,2.2443168,-1.5707964,2.401164,1014.0,1532.0,784.0,-48.0,0.0,96.0
1.0,-2.0,-2.0,-4.0,-1.0,1.0,1.0,1.0,-2.6935313,1.5707964,-2.8623872,-1857.0,-726.0,538.0,1.0,-2.0,-8.0,1.0,4.0,5.0,2.0,6.0,8.0,-1.0,0.0,2.244557,-1.5707964,2.4022613,1014.0,1526.0,779.0,-44.0,6.0,98.0
0.0,-3.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.6935017,1.5707964,-2.8623838,-1851.0,-724.0,544.0,-17.0,-3.0,-1.0,1.0,0.0,-4.0,-15.0,-2.0,3.0,-1.0,1.0,2.244557,-1.5707964,2.4022613,1014.0,1526.0,779.0,-44.0,6.0,98.0
-1.0,-2.0,-2.0,-1.0,-2.0,0.0,-1.0,-2.0,-2.6935017,1.5707964,-2.8623838,-1851.0,-724.0,544.0,-17.0,-3.0,-1.0,-7.0,-7.0,-3.0,-5.0,-5.0,-7.0,-3.0,-2.0,2.2447844,-1.5707964,2.4033463,1023.0,1537.0,785.0,-45.0,3.0,95.0
1.0,0.0,2.0,1.0,-1.0,-2.0,0.0,-3.0,-2.6933894,1.5707964,-2.8623173,-1865.0,-744.0,552.0,-17.0,-3.0,0.0,-3.0,0.0,1.0,5.0,-12.0,-10.0,-11.0,-6.0,2.2447844,-1.5707964,2.4033463,1023.0,1537.0,785.0,-45.0,3.0,95.0
-1.0,-1.0,1.0,0.0,0.0,-4.0,-2.0,-1.0,-2.6933894,1.5707964,-2.8623173,-1865.0,-744.0,552.0,-17.0,-3.0,0.0,-3.0,0.0,1.0,5.0,-12.0,-10.0,-11.0,-6.0,2.2450504,-1.5707964,2.4044623,1033.0,1528.0,780.0,-56.0,5.0,96.0
-1.0,-1.0,-2.0,-3.0,-1.0,-1.0,0.0,-3.0,-2.6933186,1.5707964,-2.8622148,-1858.0,-738.0,549.0,1.0,-3.0,-3.0,3.0,10.0,19.0,25.0,-28.0,-21.0,-2.0,3.0,2.2450504,-1.5707964,2.4044623,1033.0,1528.0,780.0,-56.0,5.0,96.0
-3.0,1.0,-1.0,-2.0,-1.0,-2.0,-3.0,0.0,-2.6933186,1.5707964,-2.8622148,-1858.0,-738.0,549.0,1.0,-3.0,-3.0,5.0,1.0,-3.0,-2.0,-4.0,7.0,9.0,4.0,2.245073,-1.5707964,2.405603,1023.0,1510.0,776.0,-71.0,11.0,100.0
0.0,0.0,-1.0,-1.0,-1.0,0.0,-5.0,1.0,-2.6933186,1.5707964,-2.8622148,-1856.0,-739.0,545.0,5.0,0.0,0.0,0.0,0.0,-1.0,-13.0,3.0,2.0,-4.0,-1.0,2.245073,-1.5707964,2.405603,1023.0,1510.0,776.0,-71.0,11.0,100.0
-2.0,2.0,-3.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.6933186,1.5707964,-2.8622148,-1856.0,-739.0,545.0,5.0,0.0,0.0,1.0,-1.0,1.0,-3.0,2.0,-4.0,2.0,-2.0,2.2451923,-1.5707964,2.406784,1020.0,1520.0,780.0,-61.0,13.0,105.0
-2.0,-1.0,1.0,-1.0,1.0,-3.0,0.0,-1.0,-2.6933186,1.5707964,-2.8622148,-1867.0,-735.0,539.0,5.0,0.0,3.0,3.0,3.0,0.0,-7.0,9.0,36.0,11.0,2.0,2.2451923,-1.5707964,2.406784,1020.0,1520.0,780.0,-61.0,13.0,105.0
