MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
-4.0,-1.0,0.0,4.0,1.0,0.0,5.0,-1.0,-2.0405755,-1.5707964,2.699573,871.0,-687.0,1632.0,-23.0,-420.0,-154.0,-2.0,1.0,1.0,-2.0,2.0,-1.0,-1.0,1.0,2.7298388,1.5707964,-2.7310252,-1910.0,789.0,257.0,14.0,7.0,-4.0
0.0,-1.0,-3.0,-4.0,-5.0,-4.0,-2.0,0.0,-2.0405755,-1.5707964,2.699573,871.0,-687.0,1632.0,-23.0,-420.0,-154.0,-3.0,-1.0,-3.0,1.0,-3.0,-1.0,3.0,2.0,2.7299147,1.5707964,-2.7311046,-1909.0,792.0,256.0,1.0,4.0,-3.0
0.0,-1.0,-3.0,-4.0,-5.0,-4.0,-2.0,0.0,-2.0629244,-1.5707964,2.7023263,912.0,-706.0,1620.0,-6.0,-425.0,-173.0,3.0,4.0,-2.0,-1.0,-3.0,2.0,-1.0,-1.0,2.7299147,1.5707964,-2.7311046,-1909.0,792.0,256.0,1.0,4.0,-3.0
-4.0,-1.0,1.0,-4.0,-7.0,-3.0,1.0,-1.0,-2.0629244,-1.5707964,2.7023263,912.0,-706.0,1620.0,-6.0,-425.0,-173.0,3.0,0.0,-2.0,-6.0,4.0,-2.0,0.0,-1.0,2.7299147,1.5707964,-2.7311046,-1892.0,788.0,259.0,2.0,2.0,-4.0
-4.0,-1.0,1.0,-4.0,-7.0,-3.0,1.0,-1.0,-2.0748367,-1.5707964,2.7037916,909.0,-700.0,1604.0,35.0,-438.0,-179.0,0.0,-3.0,-1.0,-3.0,-2.0,-2.0,0.0,0.0,2.7299147,1.5707964,-2.7311046,-1892.0,788.0,259.0,2.0,2.0,-4.0
0.0,-1.0,2.0,-2.0,-3.0,2.0,-3.0,-4.0,-2.0748367,-1.5707964,2.7037916,909.0,-700.0,1604.0,35.0,-438.0,-179.0,-3.0,-2.0,0.0,-1.0,1.0,3.0,-3.0,2.0,2.7298987,1.5707964,-2.7310865,-1906.0,786.0,268.0,2.0,9.0,-6.0
-3.0,-6.0,-1.0,-1.0,-2.0,-2.0,-4.0,4.0,-2.0748367,-1.5707964,2.7037916,909.0,-700.0,1604.0,35.0,-438.0,-179.0,-1.0,-1.0,-2.0,4.0,-2.0,-3.0,0.0,-4.0,2.7298987,1.5707964,-2.7310865,-1915.0,790.0,266.0,-5.0,6.0,-3.0
-3.0,-6.0,-1.0,-1.0,-2.0,-2.0,-4.0,4.0,-2.1005073,-1.5707964,2.7069936,952.0,-666.0,1579.0,77.0,-456.0,-183.0,-1.0,1.0,1.0,-1.0,1.0,-2.0,0.0,-6.0,2.7298987,1.5707964,-2.7310865,-1915.0,790.0,266.0,-5.0,6.0,-3.0
-3.0,-2.0,-2.0,1.0,1.0,0.0,-1.0,0.0,-2.1005073,-1.5707964,2.7069936,952.0,-666.0,1579.0,77.0,-456.0,-183.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-1.0,3.0,2.7298987,1.5707964,-2.7310865,-1902.0,786.0,262.0,-9.0,4.0,-4.0
-3.0,-2.0,-2.0,1.0,1.0,0.0,-1.0,0.0,-2.114002,-1.5707964,2.7085578,968.0,-670.0,1570.0,63.0,-453.0,-184.0,-4.0,-2.0,-1.0,1.0,-4.0,-2.0,-2.0,-1.0,2.7298987,1.5707964,-2.7310865,-1902.0,786.0,262.0,-9.0,4.0,-4.0
1.0,-1.0,-3.0,2.0,2.0,0.0,4.0,0.0,-2.114002,-1.5707964,2.7085578,968.0,-670.0,1570.0,63.0,-453.0,-184.0,-1.0,-3.0,2.0,0.0,3.0,0.0,-4.0,1.0,2.729985,1.5707964,-2.7311854,-1895.0,778.0,263.0,-7.0,10.0,-4.0
0.0,4.0,0.0,-5.0,1.0,2.0,0.0,-1.0,-2.114002,-1.5707964,2.7085578,968.0,-670.0,1570.0,63.0,-453.0,-184.0,-1.0,4.0,0.0,2.0,-3.0,-3.0,-1.0,0.0,2.729985,1.5707964,-2.7311854,-1897.0,786.0,262.0,-5.0,13.0,-4.0
0.0,4.0,0.0,-5.0,1.0,2.0,0.0,-1.0,-2.1405008,-1.5707964,2.7118187,993.0,-652.0,1547.0,51.0,-437.0,-172.0,-2.0,-2.0,1.0,-2.0,2.0,2.0,-1.0,-3.0,2.729985,1.5707964,-2.7311854,-1897.0,786.0,262.0,-5.0,13.0,-4.0
