MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
8.0,6.0,-4.0,9.0,5.0,0.0,-1.0,2.0,-3.0804222,-1.5707964,-2.9453518,1902.0,-43.0,440.0,-54.0,-97.0,1500.0,-1.0,-1.0,0.0,-1.0,-4.0,-1.0,-1.0,-1.0,2.6326523,1.5707964,2.841676,-1799.0,912.0,422.0,-8.0,0.0,4.0
7.0,5.0,10.0,13.0,4.0,0.0,0.0,-1.0,-3.0804222,-1.5707964,-2.9453518,1902.0,-43.0,440.0,-54.0,-97.0,1500.0,-3.0,-1.0,-1.0,-2.0,1.0,-2.0,-1.0,0.0,2.6326523,1.5707964,2.841676,-1806.0,900.0,424.0,-3.0,-2.0,2.0
7.0,5.0,10.0,13.0,4.0,0.0,0.0,-1.0,-3.0370631,-1.5707964,-2.9233484,1883.0,-103.0,430.0,-91.0,-36.0,1569.0,-3.0,-1.0,-1.0,-2.0,1.0,-2.0,-1.0,0.0,2.6326523,1.5707964,2.841676,-1806.0,900.0,424.0,-3.0,-2.0,2.0
-5.0,-7.0,-2.0,-13.0,-3.0,-3.0,-1.0,-4.0,-3.0370631,-1.5707964,-2.9233484,1883.0,-103.0,430.0,-91.0,-36.0,1569.0,0.0,1.0,-1.0,0.0,-5.0,1.0,0.0,-2.0,2.6326523,1.5707964,2.841676,-1810.0,918.0,425.0,13.0,-2.0,-5.0
8.0,7.0,-7.0,-10.0,-3.0,-1.0,3.0,1.0,-2.9930024,-1.5707964,-2.899727,1878.0,-222.0,462.0,-63.0,-57.0,1596.0,0.0,1.0,-1.0,0.0,-5.0,1.0,0.0,-2.0,2.6326523,1.5707964,2.841676,-1810.0,918.0,425.0,13.0,-2.0,-5.0
4.0,1.0,-2.0,-8.0,5.0,2.0,4.0,2.0,-2.9930024,-1.5707964,-2.899727,1878.0,-222.0,462.0,-63.0,-57.0,1596.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,-3.0,0.0,2.6326523,1.5707964,2.841676,-1807.0,923.0,420.0,15.0,-5.0,-8.0
-7.0,0.0,-3.0,-8.0,-3.0,-3.0,-4.0,0.0,-2.948974,-1.5707964,-2.874668,1917.0,-322.0,503.0,-70.0,-38.0,1620.0,1.0,-2.0,0.0,-1.0,0.0,0.0,2.0,0.0,2.6326523,1.5707964,2.841676,-1807.0,923.0,420.0,15.0,-5.0,-8.0
2.0,-3.0,-2.0,-13.0,-14.0,-4.0,6.0,3.0,-2.948974,-1.5707964,-2.874668,1917.0,-322.0,503.0,-70.0,-38.0,1620.0,1.0,-2.0,0.0,-1.0,0.0,0.0,2.0,0.0,2.6326125,1.5707964,2.841573,-1816.0,925.0,415.0,-4.0,-6.0,-6.0
-11.0,-14.0,6.0,17.0,5.0,4.0,1.0,0.0,-2.9052708,-1.5707964,-2.847785,1937.0,-399.0,460.0,-92.0,52.0,1620.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,2.6326125,1.5707964,2.841573,-1816.0,925.0,415.0,-4.0,-6.0,-6.0
-3.0,-4.0,-4.0,-1.0,-4.0,-5.0,6.0,-2.0,-2.9052708,-1.5707964,-2.847785,1937.0,-399.0,460.0,-92.0,52.0,1620.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-3.0,-2.0,2.6326125,1.5707964,2.841573,-1806.0,917.0,426.0,-14.0,-5.0,-6.0
-13.0,-12.0,-1.0,3.0,0.0,2.0,-1.0,-5.0,-2.8634968,-1.5707964,-2.8209875,1895.0,-475.0,410.0,-155.0,93.0,1556.0,2.0,-2.0,1.0,-1.0,-3.0,-2.0,-1.0,-1.0,2.6326125,1.5707964,2.841573,-1806.0,917.0,426.0,-14.0,-5.0,-6.0
-2.0,-12.0,-5.0,-5.0,-1.0,1.0,3.0,-3.0,-2.8634968,-1.5707964,-2.8209875,1895.0,-475.0,410.0,-155.0,93.0,1556.0,-2.0,-1.0,1.0,2.0,-2.0,0.0,2.0,-1.0,2.6326125,1.5707964,2.841573,-1807.0,913.0,434.0,-3.0,-3.0,-10.0
2.0,6.0,-7.0,-26.0,-8.0,1.0,1.0,1.0,-2.823632,-1.5707964,-2.793978,1841.0,-603.0,463.0,-197.0,82.0,1481.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,2.6326125,1.5707964,2.841573,-1807.0,913.0,434.0,-3.0,-3.0,-10.0
1.0,2.0,0.0,-11.0,-8.0,-1.0,-6.0,-3.0,-2.823632,-1.5707964,-2.793978,1841.0,-603.0,463.0,-197.0,82.0,1481.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,2.6326125,1.5707964,2.841573,-1810.0,925.0,429.0,5.0,-4.0,-8.0
-5.0,-7.0,-10.0,-18.0,-2.0,-2.0,-1.0,-3.0,-2.7872434,-1.5707964,-2.7679615,1822.0,-764.0,450.0,-173.0,65.0,1353.0,-1.0,0.0,-1.0,-2.0,1.0,-3.0,1.0,0.0,2.6326125,1.5707964,2.841573,-1810.0,925.0,429.0,5.0,-4.0,-8.0
2.0,6.0,-1.0,0.0,-3.0,-1.0,-7.0,-2.0,-2.7872434,-1.5707964,-2.7679615,1822.0,-764.0,450.0,-173.0,65.0,1353.0,0.0,-2.0,-1.0,-2.0,1.0,-1.0,0.0,0.0,2.6326125,1.5707964,2.841573,-1803.0,919.0,416.0,-5.0,0.0,-7.0
1.0,2.0,5.0,-3.0,-6.0,-5.0,-10.0,-5.0,-2.7569497,-1.5707964,-2.7447338,1831.0,-817.0,440.0,21.0,83.0,1174.0,-2.0,-1.0,-2.0,0.0,0.0,4.0,-2.0,1.0,2.6326125,1.5707964,2.841573,-1803.0,919.0,416.0,-5.0,0.0,-7.0
1.0,-1.0,4.0,8.0,9.0,-1.0,-5.0,-2.0,-2.7569497,-1.5707964,-2.7447338,1831.0,-817.0,440.0,21.0,83.0,1174.0,0.0,0.0,-2.0,-1.0,-3.0,1.0,-2.0,-1.0,2.6325643,1.5707964,2.8416927,-1794.0,913.0,437.0,-24.0,-1.0,-4.0
3.0,1.0,3.0,16.0,6.0,-1.0,-1.0,1.0,-2.7324347,-1.5707964,-2.7248657,1845.0,-813.0,430.0,127.0,119.0,983.0,-1.0,-3.0,0.0,-1.0,-2.0,2.0,-2.0,-2.0,2.6325643,1.5707964,2.8416927,-1794.0,913.0,437.0,-24.0,-1.0,-4.0
-3.0,-1.0,-5.0,-12.0,-9.0,-2.0,-1.0,-2.0,-2.7324347,-1.5707964,-2.7248657,1845.0,-813.0,430.0,127.0,119.0,983.0,-1.0,-3.0,0.0,-1.0,-2.0,2.0,-2.0,-2.0,2.6325643,1.5707964,2.8416927,-1805.0,903.0,424.0,-13.0,1.0,-6.0
1.0,8.0,-3.0,1.0,1.0,1.0,3.0,4.0,-2.712608,-1.5707964,-2.7084727,1778.0,-827.0,415.0,43.0,96.0,800.0,-2.0,0.0,-3.0,-1.0,-3.0,-4.0,0.0,-1.0,2.6325643,1.5707964,2.8416927,-1805.0,903.0,424.0,-13.0,1.0,-6.0
