MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
0.0,-3.0,-2.0,2.0,-4.0,1.0,1.0,-1.0,3.0861084,-1.5707964,2.9342496,1857.0,202.0,387.0,188.0,-120.0,1208.0,-2.0,-1.0,0.0,1.0,-4.0,-3.0,0.0,2.0,2.469826,1.5707964,-2.310539,-1367.0,1516.0,114.0,-4.0,-2.0,3.0
0.0,-3.0,-2.0,2.0,-4.0,1.0,1.0,-1.0,3.1189487,-1.5707964,2.9370563,1827.0,164.0,394.0,118.0,-93.0,1317.0,-2.0,-1.0,0.0,1.0,-4.0,-3.0,0.0,2.0,2.469826,1.5707964,-2.310539,-1367.0,1516.0,114.0,-4.0,-2.0,3.0
1.0,0.0,-3.0,-12.0,0.0,-2.0,-3.0,0.0,-3.128104,-1.5707964,2.9395313,1796.0,98.0,381.0,38.0,-69.0,1427.0,-3.0,-2.0,2.0,-3.0,-3.0,0.0,-2.0,-1.0,2.469826,1.5707964,-2.310539,-1367.0,1516.0,114.0,-4.0,-2.0,3.0
1.0,0.0,-3.0,-12.0,0.0,-2.0,-3.0,0.0,-3.128104,-1.5707964,2.9395313,1796.0,98.0,381.0,38.0,-69.0,1427.0,-3.0,-2.0,2.0,-3.0,-3.0,0.0,-2.0,-1.0,2.469826,1.5707964,-2.310539,-1371.0,1525.0,122.0,-4.0,0.0,1.0
-1.0,-4.0,2.0,-2.0,-1.0,2.0,0.0,-3.0,-3.128104,-1.5707964,2.9395313,1796.0,98.0,381.0,38.0,-69.0,1427.0,-2.0,-1.0,-6.0,0.0,-6.0,-1.0,2.0,-1.0,2.4698687,1.5707964,-2.3106632,-1370.0,1516.0,123.0,3.0,2.0,5.0
-1.0,-4.0,2.0,-2.0,-1.0,2.0,0.0,-3.0,-3.0885499,-1.5707964,2.942225,1795.0,19.0,368.0,-89.0,-66.0,1518.0,-2.0,-1.0,-6.0,0.0,-6.0,-1.0,2.0,-1.0,2.4698687,1.5707964,-2.3106632,-1370.0,1516.0,123.0,3.0,2.0,5.0
1.0,1.0,3.0,0.0,0.0,-3.0,0.0,0.0,-3.0885499,-1.5707964,2.942225,1795.0,19.0,368.0,-89.0,-66.0,1518.0,1.0,0.0,-2.0,-2.0,4.0,0.0,2.0,2.0,2.4699678,1.5707964,-2.310788,-1376.0,1519.0,108.0,-6.0,-6.0,9.0
1.0,1.0,3.0,0.0,0.0,-3.0,0.0,0.0,-3.0461907,-1.5707964,2.9448714,1807.0,-125.0,346.0,-177.0,-49.0,1580.0,1.0,0.0,-2.0,-2.0,4.0,0.0,2.0,2.0,2.4699678,1.5707964,-2.310788,-1376.0,1519.0,108.0,-6.0,-6.0,9.0
2.0,-3.0,-3.0,-24.0,0.0,-1.0,6.0,-1.0,-3.0027716,-1.5707964,2.9465916,1816.0,-238.0,340.0,-206.0,-15.0,1617.0,-4.0,-3.0,2.0,-1.0,-2.0,0.0,-2.0,2.0,2.4699678,1.5707964,-2.310788,-1376.0,1519.0,108.0,-6.0,-6.0,9.0
2.0,-3.0,-3.0,-24.0,0.0,-1.0,6.0,-1.0,-3.0027716,-1.5707964,2.9465916,1816.0,-238.0,340.0,-206.0,-15.0,1617.0,-4.0,-3.0,2.0,-1.0,-2.0,0.0,-2.0,2.0,2.4698768,1.5707964,-2.3104887,-1371.0,1521.0,111.0,2.0,-11.0,18.0
