iter	MultiClass
0	3.027287967
1	3.011598583
2	2.996413186
3	2.981356796
4	2.968238515
5	2.955669092
6	2.942697806
7	2.930596322
8	2.917474846
9	2.9054041
10	2.89375257
11	2.883043751
12	2.873110043
13	2.86241026
14	2.852270026
15	2.843047511
16	2.832394894
17	2.822746633
18	2.813321195
19	2.803667729
20	2.794486441
21	2.784910578
22	2.776177478
23	2.766257443
24	2.757691583
25	2.750263636
26	2.741887034
27	2.734234967
28	2.726551587
29	2.718860904
30	2.710763205
31	2.703482554
32	2.695937852
33	2.688713436
34	2.681390993
35	2.674001965
36	2.666917263
37	2.659835822
38	2.652406281
39	2.645852477
40	2.638962872
41	2.631811912
42	2.624795268
43	2.618140558
44	2.611949701
45	2.605818497
46	2.599292479
47	2.592746837
48	2.586200984
49	2.580033256
