iter	Passed	Remaining
0	321	15758
1	472	11349
2	628	9844
3	806	9270
4	960	8646
5	1094	8028
6	1223	7513
7	1343	7050
8	1471	6704
9	1600	6401
10	1722	6107
11	1840	5829
12	1952	5555
13	2071	5326
14	2188	5105
15	2307	4904
16	2418	4694
17	2555	4542
18	2686	4382
19	2809	4214
20	2929	4045
21	3058	3892
22	3179	3732
23	3302	3577
24	3428	3428
25	3552	3279
26	3679	3134
27	3791	2979
28	3900	2824
29	4008	2672
30	4132	2532
31	4238	2384
32	4345	2238
33	4456	2097
34	4561	1954
35	4680	1820
36	4799	1686
37	4905	1549
38	5017	1415
39	5124	1281
40	5239	1150
41	5349	1018
42	5466	889
43	5572	759
44	5681	631
45	5795	503
46	5907	377
47	6016	250
48	6133	125
49	6251	0
